Genus,Species,Collect,Number,Collnum,Herbari,Country,Plheigh,Stemhei,Stemdia,Sheathl,Petiole,Peduncl,Distanc,Prophyl,Pedbrac,Apinlen,Apinwid,Apinang,Bpinang,Bpinlen,Bpinwid,Nodivis,Rachisl,Rachisw,Rachill,Fruitle,Fruitdi,Dlat,Dlong,Elevati
Hyospathe,elegans,Vazquez,330,699,mo,peru,3,,,,10,4.5,,,,,,,,,,,,,21,,,-3.92,-73.92,130
Hyospathe,elegans,Schunke,331,10243,mo,peru,2.5,,0.99,24.5,,,,,,,,,,,,,,,,,,-8.17,-76.42,525
Hyospathe,elegans,Pena,332,35,mo,peru,3,,1.13,,14,4.5,,,,,,,,,,,,4.5,17,,,-4,-77.75,180
Hyospathe,elegans,Berlin,333,3568,mo,peru,,,1.8,,23,3.5,,,42,,,,50,,,3,60.5,5.8,,,,-4,-77.75,180
Hyospathe,elegans,Gentry,334,74272,mo,peru,4,,,,,3.5,6.5,,,,16,22,52,,7.4,4,53.5,4.8,23,,,-3.25,-72.92,130
Hyospathe,elegans,Schunke,336,10809,mo,peru,2.25,,,,19.5,,,,,,,,40,,,,,6.4,,,,-8.25,-76.25,490
Hyospathe,elegans,Gentry,337,17005,mo,colombia,6,,,,,,,,,,,,,,,,,,,,,,,1450
Hyospathe,elegans,Rudas,338,3023,mo,colombia,2,,,,,,,,,,,,,,,,,,,,,-3.78,-70.25,122
Hyospathe,elegans,Vasquez,339,570,mo,peru,2,,,,11,4,6,,,,5,32,,,,3,26,3.2,8,,,-3.5,-72.83,106
Hyospathe,elegans,Vazquez,340,1799,mo,peru,1,,0.84,15.8,6.5,3.1,,,,,,,,,,,,,23,,,-3.92,-73.58,150
Hyospathe,elegans,Vazquez,341,695,mo,peru,3,,,,10,3.5,,,,,,,,,,,,,20,,,-3.92,-73.92,130
Hyospathe,elegans,Diaz,342,1081,mo,peru,2.5,,0.78,,14.5,,,,,,,,,,,,,,,11.1,7.2,-3.83,-73.5,130
Hyospathe,elegans,Gentry,343,58570,mo,peru,2,,0.7,15.5,7,,3.5,,,,,,43,,5.5,,23,3,,,,-8.03,-73.92,250
Hyospathe,elegans,Knapp,344,8129,mo,peru,3.5,,1.32,,17,5.1,,,,,,,,,4,6,47.5,4.4,20,,,-6.17,-76.27,200
Hyospathe,elegans,Neill,346,8979,mo,ecuador,,2,1.68,,,4.2,,,,,,,,,,,,,,,,-1.25,-76.92,320
