Genus,Species,Collect,Number,Collnum,Herbari,Country,Plheigh,Stemhei,Stemdia,Sheathl,Petiole,Peduncl,Distanc,Prophyl,Pedbrac,Apinlen,Apinwid,Apinang,Bpinang,Bpinlen,Bpinwid,Nodivis,Rachisl,Rachisw,Rachill,Fruitle,Fruitdi,Dlat,Dlong,Elevati
Hyospathe,elegans,Monsalve,259,538,mo,colombia,2.5,,1.43,12,,10.7,,,,30,11.5,23,,,,,,,,,,3.92,-77,100
Hyospathe,elegans,Monsalve,260,238,mo,colombia,3,,,,,5.5,,,,,,,,,,,,5.4,20,,,3.92,-77,100
Hyospathe,elegans,Croat,261,61376,mo,colombia,2.5,,,,,8,,,,,,,,,,,,,19,,,4.03,-77.12,50
Hyospathe,elegans,Juncosa,262,1263,mo,colombia,2,,0.96,,19,8,7,,,26,4,20,43,49,13,3,30.5,5.8,13,,,5.2,-76.62,45
Hyospathe,elegans,Dodson,264,12370,mo,ecuador,3,,1.23,,11.5,5.5,,,,,,,,,,3,,4.5,23,,,-0.58,-79.33,600
Hyospathe,elegans,Dodson,265,7647,mo,ecuador,,,1.57,,,5.5,,,,,,,,,,,,,,,,-0.58,-79.33,600
Hyospathe,elegans,Juncosa,266,953,mo,colombia,3,,1.34,,16.5,,,,,,,20,41,,,3,35,5.2,11,,,5.33,-76.66,75
Hyospathe,elegans,Cabrera,267,6951,mo,colombia,,,,,17,7,,,,,,,26,,,,22,,5,,,3.17,-78.17,260
Hyospathe,elegans,Gentry,289,53316,mo,colombia,4,,1.37,,,12,3,,,32,5.5,25,42,44,1.5,16,85,6.3,24,,,4.03,-77.37,50
Hyospathe,elegans,Forero,290,7388,mo,colombia,3,,,,,7.4,3.5,,,,,,57,26,4,3,,2.9,18,,,5,-76.33,900
Hyospathe,elegans,Gentry,294,14507,mo,ecuador,3,,1.65,,23.5,7.2,,,,26.5,14.5,20,70,,4,3,45,6.1,48,10.7,5.9,,,650
Hyospathe,elegans,Gentry,295,40623,mo,colombia,2,,0.77,,,4.5,5,10.5,,,,,48,33,4,,32,4,,,,3.17,-77.37,60
Hyospathe,elegans,Fonnegra,299,2002,mo,colombia,2.5,,,,,11,7,,,27,6,29,73,26,1.5,4,33,4.2,16,,,7.33,-76.5,180
Hyospathe,elegans,Croat,366,71045,mo,colombia,,1.5,0.93,,,,,,,,,,,,,,,,,,,4.17,-77.2,52
Hyospathe,elegans,Gentry,367,40627,mo,colombia,2,,1.18,,12,,,,,36,,,30,49,,1,27.5,5,,,,3.17,-77.37,60
Hyospathe,frontinensis,Bernal,117,703,ny,colombia,2,,,13.7,20,,,,,,,,29,,,1,16,2.1,,,,6.75,-76.42,1350
Hyospathe,frontinensis,Bernal,125,706,ny,colombia,,,,,,15.7,4.5,12,,21,12.5,24,39,29,5,2,22,3.3,4,,,6.75,-76.33,1350
Hyospathe,frontinensis,Cogollo,250,3054,mo,colombia,,1.4,,,9.5,13.5,,10,30,26,,,33,,,1,17,3.3,3,,,6.53,-76.32,1240
Hyospathe,frontinensis,Cogollo,251,3490,mo,colombia,,1.6,0.73,,9.5,11.5,,6,21.5,21.5,,26,26,,,1,13,2.6,3,,,6.57,-76.32,1440
Hyospathe,frontinensis,Cogollo,252,4095,mo,colombia,,2.5,0.67,,11.5,16,,8.5,32,23.5,,24,40,,,1,18,2.7,2,,,6.53,-76.32,1360
Hyospathe,frontinensis,Cogollo,253,2592,mo,colombia,,1.7,,,12.5,,,,,26,,27,30,,,1,26,3.7,5,,,6.53,-76.32,1420
Hyospathe,frontinensis,Ramirez,254,4385,mo,colombia,,2.5,,,,18,,,,20,,24,,,,1,,,4,,,6.52,-76.32,1380
Hyospathe,frontinensis,Pipoly,291,16677,mo,colombia,1,,0.86,,8.5,17.5,,12.5,38.5,21,,25,38,,,1,16.5,2.5,2,8.2,6.3,6.48,-76.23,1340
Hyospathe,frontinensis,Pipoly,292,17672,mo,colombia,1.5,,0.84,,9.5,17,,,,33,,20,32,,,1,21.5,4.1,3,,,6.53,-76.32,1725
Hyospathe,frontinensis,Pipoly,293,17408,mo,colombia,1.25,,0.66,,7,13.7,,,,23,,23,35,,,1,16,3,3,,,6.53,-76.32,1475
Hyospathe,macrorachis,Balslev,210,60639,aau,ecuador,,0.4,1.04,12,33.5,21,7,,39,21,4,22,40,38.5,4.5,3,27.5,2.4,22,,,-3,-78.5,1850
Hyospathe,macrorachis,Balslev,211,60647,aau,ecuador,,0.85,1.41,16,11.5,30,2.5,22.5,50,25.8,7,17,45,38,3.2,4,27.5,3.4,26,,,-3,-78.5,1850
Hyospathe,macrorachis,Balslev,212,4412,aau,ecuador,,,1.05,15.5,36.5,28,7.1,24.5,,24.8,7.5,27,46,40.5,6.5,3,37.5,3.2,31,,,-3,-78.5,1850
Hyospathe,macrorachis,Borchsenius,213,91428,aau,ecuador,,0.5,1.06,13,12,24.5,7.5,12,43,22.5,13.3,25,40,33,2.6,3,24,3,13,,,-3.02,-78.5,1850
Hyospathe,macrorachis,Borchsenius,214,171,aau,ecuador,,0.9,,,20.5,,4.5,,,25.5,4,24,37,38,5.3,3,23,1.9,25,,,-3,-78.5,1600
Hyospathe,macrorachis,Borchsenius,215,300,aau,ecuador,,1,,,18,,4.3,,,23.8,4.3,29,50,34.5,3,3,25.6,3.2,26,,,-3.02,-78.53,2100
Hyospathe,macrorachis,Clark,282,3264,mo,ecuador,,0.2,1.19,,18,26,,,,22,,18,20,,,1,27.5,2.3,11,,,-4.08,-78.92,1100
Hyospathe,macrorachis,Ceron,283,5783,mo,ecuador,,,,,12,,,,,29.5,,,30,,,1,28,3.2,,8.8,4,-0.75,-77.67,1200
Hyospathe,macrorachis,Palacios,284,4206,mo,ecuador,,,,,8,,,,,26.5,,22,35,,,1,26.5,3.2,,6.6,6.9,-0.72,-77.57,1100
Hyospathe,macrorachis,Dodson,285,10474,mo,ecuador,,,,,,,,,,,,20,38,,,3,,,34,,,,,1600
Hyospathe,macrorachis,Smith,286,4418,mo,peru,,0.2,0.76,,6.5,,,,,17.5,,26,26,,,1,17,2,11,,,-5.83,-77.75,1800
Hyospathe,peruviana,Sullivan,99,1180,ny,peru,1.5,,0.95,,7.5,4.5,2,,,,3.7,24,40,29.9,1.7,5,21,3,18,,,-9.17,-75.8,1500
Hyospathe,peruviana,Smith,100,4455,ny,peru,1.6,,0.66,,5.5,2,2.5,,,20.5,,27,40,26,4.5,2,17.5,2.4,29,,,-5.83,-77.75,1750
Hyospathe,peruviana,Schunke,101,9385,ny,peru,2.25,,0.94,,,5,3.7,,,23.4,5.4,26,55,,2.1,3,18.5,2.9,23,9.5,7.3,-9.25,-75.75,1550
Hyospathe,peruviana,Schunke,221,9839,bh,peru,2.5,,0.62,13.5,8,3.3,2.8,11.5,22,21.5,4,25,43,33,2.5,3,18.5,2.2,23,,,-9.17,-75.75,1550
Hyospathe,peruviana,Gentry,288,45224,mo,peru,0.5,,0.66,13,9.5,2,,,,18,,30,30,,,1,14,2.1,34,8,6.8,-5.75,-77.67,1850
Hyospathe,pittieri,Meier,10,4603,ny,venezuela,,,,,23.4,5.1,5,,,27.5,7.5,17,51,50.7,2,13,64,6.6,,,,9.98,-68.62,1645
Hyospathe,pittieri,Steyermark,21,103337,ny,venezuela,,3.5,1.93,,18.5,5.8,2.1,,,30,9,13,36,37.5,1.6,20,71,6.5,51,14.2,6.2,9.92,-69.25,1150
Hyospathe,pittieri,Steyermark,43,114169,ny,venezuela,,6,,,15,3.5,5,,,,,,34,37.5,2,,,5.5,31,,,10.22,-68.48,1200
Hyospathe,pittieri,Moore,67,9841,ny,venezuela,6.6,,2.01,,15,8.2,4.5,,,,,,47,43.8,0.8,21,105,10.3,50,10.6,6.6,10.37,-67.68,1330
Hyospathe,pittieri,Licata,68,748,ny,venezuela,6,,1.74,,20,4,3.3,,,,,,50,,1.6,,,7,28,12.5,6.6,9.48,-69.57,1100
Hyospathe,pittieri,Noblick,112,4938,ny,venezuela,,4.5,,,17,5,3.7,,,30,8,13,46,43,0.9,19,80,7.6,40,13.6,5,10.17,-69.97,1500
Hyospathe,pittieri,Steyermark,113,118914,ny,venezuela,,6,,,,4,4,,,,6,11,40,50.5,1,,,7.6,,,,7.6,-72.22,1200
Hyospathe,pittieri,Bunting,114,12102,ny,venezuela,,8,2.16,,,5,3.5,,,,11,15,90,,1,,,8.8,,,,10.78,-72.67,1525
Hyospathe,pittieri,Meier,115,4604,ny,venezuela,,5,,,22,5.1,4,,,37,11,20,53,58,1.2,,,10.8,,,,9.98,-68.62,1645
Hyospathe,pittieri,Wessels Boer,116,2460,ny,venezuela,,5,,35,25,4,2.2,,,,,,57,32,0.5,27,100,9,45,12.5,7.3,9.83,-72.83,1100
Hyospathe,pittieri,Braun,223,,bh,venezuela,7,,2.29,30,11.5,5.8,3,,,25.5,8.5,12,46,37,1,,,8.6,,,,10.25,-66.58,
Hyospathe,pittieri,Delascio,224,2962,bh,venezuela,5,,,,33,3,5,,,,,,48,,1,,,8.9,40,9.7,7.2,,,1400
Hyospathe,wendlandiana,Daly,182,5353,ny,colombia,,,0.92,16,4.5,3,,,,,4.5,27,,,,11,26.5,3.4,24,,,6.02,-75.02,1600
Hyospathe,wendlandiana,Daly,196,5902,ny,colombia,4,,0.79,,6.5,3.3,6.5,,,21,7.5,25,55,36.5,2.6,3,28,2.6,25,,,6.02,-75.02,1600
Hyospathe,wendlandiana,Fonnegra,300,4479,mo,colombia,1.5,,,,29,3.4,4,,,22,7.5,25,60,26,4.5,5,37,4.1,25,,,6.92,-75.07,1490
