NUMBER,Genus,SPECIES$,SUBSPECIES$,MORPHOTYPE$,HERBARIUM$,COLLECTOR$,COLNUMBER,COUNTRY$,LATITUDE,DLATITUDE,LONGITUDE,DLONGITUDE,ELEVATION,PLHEIGHT,STEMDIAMETER,PETIOLE,RACHISLEN,RACHISWID,NODIVISIONS,BASPINLEN,BASPINWID,PEDBRACT,PEDUNCLEWID,RACHILLLEN,RACHILLWID,NORACHILLAE,STAMEN,FRUITLEN,FRUITDIAM,STEMS,RACHIS,CIRRUS,CIRRUSABAX,INTERS,FILIFORM,PINNABASE,SPINULES,INFLOS,PEDUNCBRACT,TOMENTUM,STAMENNO,FRUITSURF,FRCOROLLA,SPLITTING,ENDOCARPS
786,Desmoncus,leptoclonos,,,UB,Mendes,251,Brazil,15.21,-15.35,55.49,-55.81,,,,,77,,13,,,30,2.6,7.3,1,16,,13.9,7.6,,2,1,1,2,2,1,1,2,9,,,1,1,1,2
777,Desmoncus,leptoclonos,,,CEN,Pereira-Silva,4766,Brazil,13.33,-13.55,48.05,-48.08,310,,1.39,6,55,5.3,10,15,2.5,22.5,1.6,6.4,0.6,15,,,,,2,1,1,2,2,1,1,2,9,2,,,,,
297,Desmoncus,leptoclonos,,,NY,Pereira-Silva,4648,Brazil,13.31,-13.51,48.03,-48.05,335,,0.91,3,66.5,4.2,7,12.5,2,,1,3.5,0.9,5,6,,,,2,1,1,2,2,1,1,2,9,2,1,,,,
615,Desmoncus,leptoclonos,,,MO,Schinini,29368,Paraguay,23.2,-23.33,56.3,-56.5,,5,1.49,4,,,,24,3,,2.5,,,11,,,,,2,,,,2,1,1,2,9,,,1,1,1,2
785,Desmoncus,leptoclonos,,,UB,Sidney,249,Brazil,13.4,-13.66,52.21,-52.35,,1,1.42,1.7,31,7.5,9,,,,1.7,,,7,,12.1,8.6,,2,1,1,2,2,1,1,2,,,,1,1,1,2
778,Desmoncus,leptoclonos,,,HEPH,Silva,390,Brazil,16.21,-16.35,51.26,-51.43,415,,1.51,4.2,,7.1,,,,,3.2,6.5,0.7,14,,,,,2,1,1,2,2,1,1,2,9,2,,,,,
721,Desmoncus,loretanus,,,AAU,Balslev,7462,Peru,4.28,-4.46,73.58,-73.96,110,,0.76,,,,,,,24.5,1,4.5,0.8,9,,,,,2,1,1,2,2,1,1,2,7,,,,,,
722,Desmoncus,loretanus,,,AAU,Balslev,7122,Peru,3.27,-3.45,73.16,-73.26,,,1.37,,,,,,,,2.5,6.5,0.8,10,,14.7,7.6,,2,1,1,2,2,1,1,2,7,,,1,1,1,2
623,Desmoncus,loretanus,,,MO,Croat,18793,Peru,3.56,-3.94,73.27,-73.45,,,1.07,1.7,,,,13,2.6,,2.4,,,8,,,,,2,1,1,2,2,1,1,2,7,,,,,,
622,Desmoncus,loretanus,,,MO,Díaz,252,Peru,3.49,-3.81,73.22,-73.36,130,,1.18,1.3,,,,15,2.5,,2,,,8,,12.6,7.3,,2,1,1,2,2,1,1,2,7,,,1,1,1,2
624,Desmoncus,loretanus,,,MO,Gentry,19108,Peru,3.44,-3.74,73.14,-73.24,120,,0.98,1.7,33.5,3.3,6,9.2,2.7,15,,,,,,,,,2,1,1,2,2,1,1,2,7,2,,,,,
248,Desmoncus,loretanus,,,NY,Gentry,25785,Peru,3.59,-3.98,73.1,-73.16,130,,1.63,2,,,,,,,,,,10,7,13.4,7.8,,2,,,,2,1,1,2,7,,1,1,1,1,2
626,Desmoncus,loretanus,,,MO,Grández,1782,Peru,3.42,-3.7,72.5,-72.83,115,,0.69,,,,,12.7,2.7,12.5,1.7,2.5,1.2,6,,12.9,7,,2,1,1,2,2,1,1,2,7,,,1,1,1,2
289,Desmoncus,loretanus,,,NY,Lleras,17184,Peru,5.12,-5.2,72.52,-72.87,,,0.89,0.7,39,3.6,7,3,1,13,2.2,,,10,,10.5,8.3,,2,1,1,2,2,1,1,2,7,,,1,1,1,2
557,Desmoncus,loretanus,,,US,McDaniel,32182,Peru,3.45,-3.75,73.12,-73.2,90,,1.49,1.5,46.5,4.1,,,,,,,,,,,,,2,1,1,2,2,1,1,2,7,,,,,,
490,Desmoncus,loretanus,,,F,Revilla,341,Peru,3.4,-3.66,73.15,-73.25,,,1.15,1.6,,4.4,,15.5,3.5,,2.3,,,8,,15.9,9.6,,2,,,,2,1,1,2,7,,,1,1,1,2
625,Desmoncus,loretanus,,,MO,Revilla,1166,Peru,3.44,-3.74,73.14,-73.24,,,1.35,0.8,,,,,,12,,,,,,11.2,7,,2,1,1,2,2,1,1,2,7,,,1,1,1,2
253,Desmoncus,loretanus,,,NY,Rimachi,10809,Peru,3.42,-3.7,73.14,-73.24,90,,1.27,1,,5.7,,11.5,3.3,,,,,,,,,,2,1,1,2,2,1,1,2,7,2,,,,,
628,Desmoncus,loretanus,,,MO,Vásquez ,5695,Peru,3.56,-3.94,73.27,-73.45,,,1.44,2.2,,,,,,,,,,,,13.1,9,,2,1,1,2,2,1,1,2,,,,1,1,1,2
496,Desmoncus,loretanus,,,F,Williams,3451,Peru,4,-4,73.3,-73.5,,,,,,,,,,17.7,2.6,,,12,,,,,2,,,,2,1,1,2,7,,,,,,
230,Desmoncus,madrensis,,,NY,Chávez,683,Peru,11.53,-11.88,70.58,-70.96,400,2.5,0.85,8.5,,2.8,4,21,4.5,26.5,2.2,3.3,1,17,,,,,2,1,1,2,2,1,2,2,2,2,,,,,
241,Desmoncus,madrensis,,,NY,Chávez,626,Peru,11.53,-11.88,70.58,-70.96,400,3,0.64,4.7,27.5,2.5,5,,,,2.9,15,,,,10,6.6,,2,1,1,2,2,1,2,2,,,,1,1,1,2
458,Desmoncus,madrensis,,,MO,Gentry,68598,Peru,12.35,-12.58,69.05,-69.08,200,,0.66,8,19.5,2.1,5,10,2.3,,2.4,2.3,1.2,13,,11.3,6.9,,2,1,1,2,2,1,2,2,,,,1,1,1,2
462,Desmoncus,madrensis,,,MO,Gentry,78307,Peru,12.5,-12.83,69.17,-69.28,260,,0.52,3.8,35,1.8,4,11.6,2,,,,,,,,,,2,1,1,2,2,1,2,,,,,,,,
463,Desmoncus,madrensis,,,MO,Gentry,43657,Peru,11.52,-11.86,71.22,-71.36,400,,,,,,,,,,,,,,,,,,2,1,1,2,2,1,2,,,,,,,,
464,Desmoncus,madrensis,,,MO,Gentry,27084,Peru,11.52,-11.86,71.24,-71.4,380,,0.64,6.5,26.5,1.5,5,11.1,2.7,,2.2,,,16,,10,7.1,,2,1,1,2,2,1,2,2,,,,1,1,1,2
460,Desmoncus,madrensis,,,MO,Núñez,10483,Peru,12.33,-12.55,69.03,-69.05,200,,0.84,,,,,,,18,1.9,3.6,1.2,14,,,,,2,1,1,2,2,1,2,2,2,2,,,,,
461,Desmoncus,madrensis,,,MO,Núñez,10015,Peru,12.35,-12.58,69.05,-69.08,200,,0.75,8,29.5,2.3,5,,,,2,,,16,,11.4,6.7,,2,1,1,2,2,1,2,2,2,,,1,1,1,2
467,Desmoncus,madrensis,,,US,Sacco,43,Peru,12.5,-12.83,69.2,-69.33,,,0.61,9,,,,13.7,3.8,,1.6,4,1.1,12,,10.8,6.8,,2,1,1,2,2,1,2,2,,,,1,1,1,2
488,Desmoncus,madrensis,,,F,Schunke,2644,Peru,9.18,-9.3,74.32,-74.53,275,6.5,0.66,2.5,32,2.8,6,10.5,2.2,,2.4,,,15,,9.3,6.1,,2,1,1,2,2,1,2,2,,,,1,1,1,2
459,Desmoncus,madrensis,,,MO,Timaná,2629,Peru,12.29,-12.48,69.03,-69.05,200,,0.72,5,34.5,1.9,6,8.8,1.6,,1.6,,1.2,10,,10.2,6.7,,2,1,1,2,2,1,2,2,,,,1,1,1,2
240,Desmoncus,madrensis,,,NY,Timaná,1272,Peru,12.29,-12.48,69.03,-69.05,200,,0.67,4.5,,2.1,,11.5,2.5,,2.8,,,10,,10.2,7.2,,2,,,,2,1,2,2,,,,1,1,1,2
465,Desmoncus,madrensis,,,MO,Valenzuela,2254,Peru,12.32,-12.53,69.03,-69.05,184,,0.67,3.5,24.5,1.9,5,10,1.8,,2.4,,,14,,,,,2,1,1,2,2,1,2,2,,,,,,,
466,Desmoncus,madrensis,,,MO,Young,97,Peru,12.39,-12.66,69.13,-69.23,250,,0.52,6.7,29.3,1.9,5,12.2,2,,1.6,,,11,,,,,2,1,1,2,2,1,2,2,,,,,,,
757,Desmoncus,mitis,ecirratus,,INPA,Anderson,296,Brazil,9.1,-9.16,60.4,-60.66,,,0.66,6,28.5,3.2,4,17,2.8,,0.9,,,,,,,,2,1,1,2,2,1,2,1,3,,,,,,
653,Desmoncus,mitis,ecirratus,,S,Asplund,14687,Peru,3.3,-3.5,72.45,-72.75,,1.5,0.77,4.5,11.5,3.4,2,19.6,6.5,,1.2,4,1.4,5,,9.7,6.7,,2,1,,,2,1,2,1,3,,,1,1,1,2
640,Desmoncus,mitis,ecirratus,,US,Calderón,2851,Brazil,9.38,-9.63,64.57,-64.95,,1.5,0.7,6,14,3.2,2,19,4.4,,1.1,,,5,,9.3,7,,2,1,,,2,1,2,1,3,,,1,1,1,2
756,Desmoncus,mitis,ecirratus,,INPA,Cid,2929,Brazil,10.5,-10.83,67.5,-67.83,,,0.63,4.5,18,2.2,3,14.2,2.8,,0.8,,,5,,,,,2,1,1,2,2,1,2,1,,,,,,,
798,Desmoncus,mitis,ecirratus,,INPA,Cid,2892,Brazil,9.38,-9.63,67.37,-67.61,,2,0.57,4,16.5,2.5,3,12.3,3.3,,1.2,,,5,,9.8,5.8,,2,1,1,2,2,1,2,1,,,,1,1,1,2
315,Desmoncus,mitis,ecirratus,,NY,Croat,62352,Brazil,7.37,-7.61,72.37,-72.61,150,1.3,1.13,2.3,23,3.8,5,,,,1.6,3.7,0.9,7,,11.2,7.3,,2,1,,,2,1,2,1,,,,1,1,1,2
170,Desmoncus,mitis,ecirratus,,NY,Daly,11467,Brazil,9.23,-9.38,69.56,-69.93,,,0.61,6,14.5,2.3,3,13.3,3.3,18,2.5,,,,,12.4,7.8,,2,1,,,2,1,2,1,3,,,1,1,1,2
172,Desmoncus,mitis,ecirratus,,NY,Daly,11734,Brazil,8.14,-8.23,72.57,-72.95,,1,0.69,5.5,35,2.3,3,18.5,4.5,,,,0.6,4,,11.9,7,,2,1,,,2,1,2,1,,,,1,1,1,2
286,Desmoncus,mitis,ecirratus,,NY,Daly,11800,Brazil,8.1,-8.16,72.53,-72.88,,,0.85,3,,,,,,,,,,,,,,,2,,,,2,1,2,1,,,,,,,
263,Desmoncus,mitis,ecirratus,,NY,Ferreira,321,Brazil,8.15,-8.25,71,-71,,2.5,0.64,3.5,,2.8,4,,,,,,,,,,,2,2,,,,2,1,2,1,,,,,,,
265,Desmoncus,mitis,ecirratus,,NY,Forero,6384,Brazil,10,-10,67.15,-67.25,,,0.6,5,,2.9,,,,,,,,,,,,,2,1,1,2,2,1,2,1,,,,,,,
676,Desmoncus,mitis,ecirratus,,NY,Freitas,216,Brazil,10.02,-10.03,67.47,-67.78,150,2.5,0.43,6.2,26,,4,13.5,3.5,,,4.7,0.8,6,,10.4,6.9,,2,1,1,2,2,1,2,1,3,,,1,1,1,2
175,Desmoncus,mitis,ecirratus,,NY,Henderson,1693,Brazil,7.18,-7.3,73.1,-73.16,,1.5,0.5,2.7,24,2.6,3,14.5,3.3,,,,,6,,,,,2,1,,,2,1,2,1,3,,,1,1,1,2
267,Desmoncus,mitis,ecirratus,,NY,Henderson,1101,Brazil,7.1,-7.16,72.45,-72.75,,3,0.66,6.5,17.5,2.6,4,22,5,,0.9,,0.7,5,,,,2,2,1,1,2,2,1,2,1,,,,,,,
799,Desmoncus,mitis,ecirratus,,INPA,Jangoux,85007,Brazil,7.45,-7.75,72.15,-72.25,,,0.53,3.5,22.5,2.9,3,13,2.8,,1.7,5.5,0.7,5,,,,,2,1,1,2,2,1,2,1,3,2,,,,,
258,Desmoncus,mitis,ecirratus,,NY,Krukoff,4996,Brazil,7.3,-7.5,70.15,-70.25,,,0.73,7.2,,3.2,,19,4.3,,,,,,,9.9,6.1,,2,1,1,2,2,1,2,1,3,,,1,1,1,2
176,Desmoncus,mitis,ecirratus,,NY,Maas,12879,Brazil,7.54,-7.9,72.46,-72.76,,1,0.43,10.5,34.5,3,3,27.5,3.2,24,1.4,6.2,0.8,6,,,,,2,1,,,2,1,2,1,3,,,,,,
177,Desmoncus,mitis,ecirratus,,NY,Maas,13130,Brazil,8.15,-8.25,73,-73,,2,0.75,7,22.5,2.7,3,16.3,4.5,,1.4,4,0.5,4,,9.1,6.7,,2,1,,,2,1,2,1,,,,1,1,1,2
171,Desmoncus,mitis,ecirratus,,NY,Moreno,163,Bolivia,10.53,-10.88,65.56,-65.93,165,2,0.45,7.7,11,2.1,2,18,4.3,30,1.5,,0.5,4,,,,2,2,1,1,2,2,1,2,1,3,,,,,,
180,Desmoncus,mitis,ecirratus,,NY,Moreno,185,Bolivia,10.15,-10.25,65.41,-65.68,180,1.75,0.46,3.3,15.5,2.4,2,,4,,,,,5,,9.7,6.7,2,2,1,,,2,1,2,1,3,,,1,1,1,2
183,Desmoncus,mitis,ecirratus,,NY,Nee,34905,Brazil,9.43,-9.71,65.08,-65.13,140,1.5,0.69,9,15.5,2.3,2,20.7,4.7,,,5,0.5,4,,,,,2,1,,,2,1,2,1,3,2,,,,,
184,Desmoncus,mitis,ecirratus,,NY,Nee,34990,Brazil,10.38,-10.63,63.37,-63.61,300,1.5,0.38,8.5,33.5,1.9,2,19.5,3.8,16.5,1.4,2,0.7,3,,,,,2,1,,,2,1,2,1,3,,,,,,
675,Desmoncus,mitis,ecirratus,,NY,Pessôa,319,Brazil,9.56,-9.93,67.52,-67.86,,0.8,0.68,5.8,9.2,2.2,2,13.5,4.4,,,3,1.2,4,,9.8,5.8,,2,1,,,2,1,2,1,3,,,1,1,1,2
725,Desmoncus,mitis,ecirratus,,NY,Pessôa,254,Brazil,9.56,-9.93,67.5,-67.83,,,0.84,4,20,2.1,3,17,4.8,,1.2,9.2,0.9,4,,10.4,6.4,,2,1,1,2,2,1,2,1,,,,1,1,1,2
641,Desmoncus,mitis,ecirratus,,BH,Prance,13946,Brazil,7.15,-7.25,64.5,-64.83,,1,0.63,8.2,32,2.6,5,17,3.8,19.5,1.3,,,4,,10.9,7.3,,2,1,1,2,2,1,2,1,3,,,1,1,1,2
182,Desmoncus,mitis,ecirratus,,NY,Prance,5636,Brazil,9.38,-9.63,64.57,-64.95,,1,0.57,5.7,8,2.8,2,12.1,2.5,,1.7,,,4,,,,,2,1,,,2,1,2,1,3,,,,,,
770,Desmoncus,mitis,ecirratus,,NY,Quinet,1343,Brazil,8.22,-8.36,67.22,-67.36,,0.7,0.72,6.2,31,2.4,4,12,4.3,,1.1,,,,,9.3,6.4,,2,1,1,2,2,1,2,1,,,,1,1,1,2
787,Desmoncus,mitis,ecirratus,,INPA,Sasaki,14,Brazil,9.45,-9.75,56,-56,,1,0.36,3.4,17.5,2,3,16.2,3,,,,,,,9.9,7.1,,2,1,1,2,2,1,2,,,,,1,1,1,2
178,Desmoncus,mitis,ecirratus,,NY,Schunke,15033,Peru,10.12,-10.2,70.57,-70.95,180,2,0.62,7,17,2.5,2,16,5.3,,,,0.7,4,,11.9,6.4,,2,1,1,2,2,1,2,1,3,,,1,1,1,2
173,Desmoncus,mitis,ecirratus,,NY,Silveira,1636,Brazil,8.15,-8.25,73.14,-73.23,,,0.44,5,,,3,17,4.3,28,3.1,7.2,0.5,5,,,,,2,1,,,2,1,2,1,3,,,,,,
455,Desmoncus,mitis,ecirratus,,MO,Solomon,17098,Bolivia,10.34,-10.56,66.06,-66.1,120,2,0.55,4.3,9,1.9,2,11.7,3.2,14.6,0.9,2.7,1.1,3,,,,,2,1,1,2,2,1,2,1,3,,,,,,
179,Desmoncus,mitis,ecirratus,,NY,Solomon,7814,Bolivia,10.58,-10.96,65.58,-65.96,230,2,0.41,7.3,41,1.9,2,21.7,3.5,,,4,0.9,4,,9.5,6.9,,2,1,1,2,2,1,2,1,3,,,1,1,1,2
181,Desmoncus,mitis,ecirratus,,NY,Vargas,867,Bolivia,9.52,-9.86,65.42,-65.7,150,1,0.46,6,15.5,2.2,2,21,4.4,,,,,5,,,,,2,1,,,2,1,2,1,3,,,,,,
825,Desmoncus,mitis,leptospadix,,COAH,Arias,1552,Colombia,2.3,-2.5,70.11,-70.18,,,0.6,5.5,,,,,,,1.1,8.3,1.1,5,,11.9,6.8,,2,1,1,2,2,1,2,1,,,,1,1,1,2
720,Desmoncus,mitis,leptospadix,,AAU,Balslev,6859,Peru,3.46,-3.76,73.15,-73.15,120,,0.7,5.5,32,2,6,10.5,2.7,,0.8,4.7,0.8,5,,9.8,6,,2,1,1,2,2,1,2,1,,,,1,1,1,2
758,Desmoncus,mitis,leptospadix,,COL,Bernal,2538,Colombia,3.55,-3.91,70.09,-70.15,150,2,0.48,5,64,1.8,9,10.5,2,,,,,,,10.6,6.3,,2,1,1,2,2,1,2,1,,,,1,1,1,2
760,Desmoncus,mitis,leptospadix,,COL,Cabrera,3054,Colombia,3.44,-3.73,70.31,-70.51,,,0.73,2.8,,,,9,1.5,,,,,5,,,,,2,1,1,2,2,1,2,1,,,,,,,
300,Desmoncus,mitis,leptospadix,,NY,Cid,3299,Brazil,3.21,-3.35,64.42,-64.7,,,0.48,3.5,38,2.6,11,8,1,,1,,,4,,9.1,6,,2,1,1,2,2,1,2,1,,,,1,1,1,2
174,Desmoncus,mitis,leptospadix,,NY,Daly,11627,Brazil,7.4,-7.66,72.53,-72.88,,,0.35,4.6,31,1.5,3,10,2,17.5,1.7,,,4,,,,,2,1,1,2,2,1,2,1,3,,,,,,
262,Desmoncus,mitis,leptospadix,,NY,Daly,10894,Brazil,8.57,-8.95,72.36,-72.6,,,0.47,2,,2.2,6,7.7,1.8,,,,,5,,9.7,5.7,,2,1,1,2,2,1,2,1,,,,1,1,1,2
761,Desmoncus,mitis,leptospadix,,COL,Duque,7391,Colombia,0.52,-0.86,71.37,-71.61,250,3.5,0.63,3.7,,,,,,,,,,,,10.8,7,,2,1,1,2,2,1,2,1,,,,1,1,1,2
256,Desmoncus,mitis,leptospadix,,NY,Fleck,508,Peru,5.17,-5.28,73.09,-73.15,150,1.14,0.55,3.5,,1.7,5,10,3.5,,2.6,,,5,,,,1,2,1,1,2,2,1,2,1,3,,,,,,
440,Desmoncus,mitis,leptospadix,,MO,Foster,8814,Peru,9.18,-9.3,74.58,-74.96,275,,0.3,3,,1.1,,9,1.7,,1.3,5.8,1.5,4,,9.4,5.8,,2,1,1,2,2,1,2,1,3,,,1,1,1,2
441,Desmoncus,mitis,leptospadix,,MO,Gentry,16560,Peru,3.3,-3.5,73.14,-73.23,,,0.57,3,,,,12,2.5,,1.2,9,0.7,3,,,,,2,1,1,2,2,1,2,1,,,,,,,
446,Desmoncus,mitis,leptospadix,,MO,Gentry,27743,Peru,3.3,-3.5,72.5,-72.83,130,,0.57,2.7,,,,,,,,,,,,11.2,6.8,,2,1,1,2,2,1,2,1,,,,1,1,1,2
448,Desmoncus,mitis,leptospadix,,MO,Gentry,58515,Peru,8.02,-8.03,73.55,-73.91,250,,0.45,2,26,1.6,5,,,,,,,,,10.9,7.3,,2,1,1,2,2,1,2,1,,,,1,1,1,2
450,Desmoncus,mitis,leptospadix,,MO,Gentry,54608,Peru,3.3,-3.5,73.01,-73.01,130,,0.7,4,32.5,1.9,7,14.5,1.4,,0.6,5,0.9,4,,12.4,7.6,,2,1,1,2,2,1,2,1,,,,1,1,1,2
451,Desmoncus,mitis,leptospadix,,MO,Gentry,42260,Peru,3.28,-3.46,72.52,-72.86,130,,0.72,4.3,35,2.6,8,12,2,,,,,,,,,,2,1,1,2,2,1,2,1,,,,,,,
453,Desmoncus,mitis,leptospadix,,MO,Gentry,29230,Peru,4.05,-4.08,72.58,-72.96,130,,0.47,3.6,,,,8.7,1.7,,,,,,,,,,2,1,1,2,2,1,2,1,,,,,,,
454,Desmoncus,mitis,leptospadix,,MO,Gentry,39709,Peru,3.28,-3.46,72.5,-72.83,130,,0.54,,,,,,,,,,,,,11.3,7.7,,2,1,1,2,2,1,2,1,,,,1,1,1,2
264,Desmoncus,mitis,leptospadix,,NY,Gentry,60885,Peru,3.28,-3.46,72.5,-72.83,130,,0.52,3.7,,2,,10.3,1.3,,,,,,,,,,2,1,1,2,2,1,2,1,,,,,,,
724,Desmoncus,mitis,leptospadix,,NY,Graham,4699,Peru,9.21,-9.35,74.28,-74.46,200,7.5,0.69,3.5,22.5,2.3,4,11.2,1.8,,1.4,,,6,,11,7.5,,2,1,1,2,2,1,2,1,,,,1,1,1,2
644,Desmoncus,mitis,leptospadix,,MO,Huashikat,2309,Peru,3.5,-3.83,77.4,-77.66,200,,0.63,5,,,,13.7,2,,1.5,,,6,,12.7,7,,2,1,1,2,2,1,2,1,,,,1,1,1,2
759,Desmoncus,mitis,leptospadix,,COL,Idrobo,4707,Colombia,3.47,-3.78,70.21,-70.35,100,,0.43,3,,,,,,,,,,,,9.7,6.7,,2,1,1,2,2,1,2,1,,,,1,1,1,2
254,Desmoncus,mitis,leptospadix,,NY,Killip,28807,Peru,5.5,-5.83,76,-76,135,,0.54,1.5,,2.4,4,9.5,2,,,3.7,0.6,7,,8.9,6.3,,2,1,1,,2,1,2,1,3,,,1,1,1,2
261,Desmoncus,mitis,leptospadix,,NY,Killip,27071,Peru,3.44,-3.74,73.14,-73.24,100,,0.69,5.7,,2.2,,12.5,3.8,,,,,,,11,6.2,,2,,,,2,1,2,1,,,,1,1,1,2
643,Desmoncus,mitis,leptospadix,,US,Núñez,19077,Peru,11.46,-11.76,72.42,-72.7,400,,0.46,3,29,2.5,5,14,2.1,,,,,,,,,,2,1,1,2,2,1,2,1,3,,,,,,
442,Desmoncus,mitis,leptospadix,,MO,Pipoly,16068,Colombia,3.47,-3.78,70.15,-70.25,210,,0.38,3.5,29.5,1.5,8,,,,0.7,,0.6,4,,,,,2,1,1,2,2,1,2,1,,,,,,,
824,Desmoncus,mitis,leptospadix,,COAH,Posada,2244,Colombia,3.57,-3.95,70.19,-70.31,120,,0.57,3.5,31.5,2.4,10,8.5,1.5,,1,8,0.8,6,,,,,2,1,1,2,2,1,2,1,,,,,,,
277,Desmoncus,mitis,leptospadix,,NY,Prance,12490,Brazil,7.3,-7.5,73.45,-73.75,,2,0.42,4,,1.5,,12.2,3,,,,,,,15.7,10.9,,2,1,1,2,2,1,2,1,3,,,1,1,1,2
278,Desmoncus,mitis,leptospadix,,NY,Prance,12310,Brazil,7.3,-7.5,73.45,-73.75,,,0.51,5.5,,1.9,,9.8,1.3,,,,,,,14.2,10.7,,2,1,1,2,2,1,2,,,,,1,1,1,2
257,Desmoncus,mitis,leptospadix,,NY,Rimachi,11783,Peru,3.55,-3.91,73.2,-73.33,135,,0.44,4,,2.2,,7.7,2.3,,,,,5,,9.1,6.3,,2,1,1,2,2,1,2,1,,,,1,1,1,2
443,Desmoncus,mitis,leptospadix,,MO,Rudas,2868,Colombia,3.47,-3.78,70.15,-70.25,115,,0.57,4.8,26,2.1,8,9,1.8,,0.9,,,,,,,,2,1,1,2,2,1,2,1,,,,,,,
642,Desmoncus,mitis,leptospadix,,MO,Rudas,3103,Colombia,3.47,-3.78,70.15,-70.25,100,4,0.5,,,,,,,,0.8,,,,,,,,2,1,1,2,2,1,2,1,,,,,,,
255,Desmoncus,mitis,leptospadix,,NY,Schunke,15726,Peru,9.02,-9.03,75.33,-75.55,300,6.5,0.48,,,,,,,,,,,4,,,,,2,1,1,2,2,1,2,1,3,,,,,,
259,Desmoncus,mitis,leptospadix,,NY,Schunke,15269,Peru,8.09,-8.15,74.15,-74.25,163,8.5,0.73,2.5,62.5,3.6,5,16.5,3,,,,,,6,,,,2,1,1,2,2,1,2,1,3,,1,,,,
766,Desmoncus,mitis,leptospadix,,GH,Soejarto,780,Colombia,3.45,-3.75,70.2,-70.33,200,,0.55,5,,2.2,,11,1.3,,,,0.6,,,,,,2,,,,2,1,2,1,,,,1,1,1,2
260,Desmoncus,mitis,leptospadix,,NY,Tessmann,5236,Peru,5.6,-5.11,73.52,-73.87,,,0.62,4.5,17.2,2.1,5,12.7,2.4,,,,,,6,,,,2,,,,2,1,2,1,3,,1,,,,
768,Desmoncus,mitis,leptospadix,,GH,Trail,1083,Brazil,3.2,-3.33,68.52,-68.86,,,,,,,,,,,,,,,,,,,2,1,1,2,2,1,2,1,,,,,,,
425,Desmoncus,mitis,leptospadix,,MO,Vásquez ,8352,Peru,4.1,-4.16,73.3,-73.5,130,,0.59,3.8,,2.8,,9.3,1.8,,0.8,,,,,12.5,8.8,,2,,,,2,1,2,1,,,,1,1,1,2
445,Desmoncus,mitis,leptospadix,,MO,Vásquez ,5153,Peru,3.3,-3.5,72.5,-72.83,106,,0.59,3.5,25,2.2,7,10.7,2.2,,0.9,5,0.9,5,,9.8,7.1,,2,1,1,2,2,1,2,1,,,,1,1,1,2
447,Desmoncus,mitis,leptospadix,,MO,Vásquez ,14108,Peru,3.28,-3.36,72.5,-72.83,106,,0.54,4.7,33,2,7,12,2,,,,,,,13.8,6.7,,2,1,1,2,2,1,2,1,,,,1,1,1,2
449,Desmoncus,mitis,leptospadix,,MO,Vásquez ,18335,Peru,3.28,-3.46,72.52,-72.86,106,,0.78,3,34.5,1.8,7,,,,0.7,4,0.8,,,,,,2,1,1,2,2,1,2,1,,,,,,,
452,Desmoncus,mitis,leptospadix,,MO,Vásquez ,5905,Peru,4.1,-4.16,73.3,-73.5,,,0.77,6.5,34.5,2.1,6,11.2,,,0.8,6.3,0.8,5,,12.9,8.3,,2,1,1,2,2,1,2,1,,,,1,1,1,2
270,Desmoncus,mitis,leptospadix,,NY,Vásquez ,8329,Peru,4.1,-4.16,73.3,-73.5,130,,0.51,5,,2,,10,2.8,,,7,0.7,5,,,,,2,,,,2,1,2,1,3,,,,,,
323,Desmoncus,mitis,leptospadix,,NY,Vásquez ,12139,Peru,3.28,-3.46,72.5,-72.83,106,,0.57,5.7,76,1.3,8,12.7,1.7,,,,,,,10.1,7.3,,2,1,1,2,2,1,2,,,,,1,1,1,2
444,Desmoncus,mitis,leptospadix,,MO,Vormisto,622,Peru,7.05,-7.08,75.03,-75.05,350,,0.58,4.3,19,2,4,12.3,3.5,,0.6,,,5,,11.4,7.1,,2,1,1,2,2,1,2,1,,,,1,1,1,2
499,Desmoncus,mitis,leptospadix,,F,Williams,3907,Peru,5.54,-5.9,76.04,-76.08,,,,,,,,,,,,,,,,11.2,7.6,,2,1,1,2,2,1,2,1,,,,1,1,1,2
795,Desmoncus,mitis,leptospadix,?,INPA,Rabelo,79,Brazil,2.54,-2.9,59,-59,,,0.56,5,,2.8,,13.5,2.8,,,,,,,,,,2,1,1,2,2,1,2,,,,,,,,
268,Desmoncus,mitis,mitis,,NY,Aguirre-Galviz,1152,Colombia,0.36,-0.6,72.19,-72.31,,,0.57,1.3,,2.8,,6.5,0.7,29.5,2.5,6.4,1.4,5,,9.1,5.5,,2,,,,2,1,2,1,3,,,1,1,1,2
680,Desmoncus,mitis,mitis,,AAU,Balslev,7430,Peru,3.48,-3.8,74.46,-74.76,145,,0.49,1.5,36,2.2,14,10.5,1.3,,1.3,6,0.6,4,6,10.1,6.6,,2,1,1,2,2,1,2,1,3,2,1,1,1,1,2
681,Desmoncus,mitis,mitis,,AAU,Balslev,6657,Peru,3.48,-3.8,75.08,-75.13,,3,,,,,,,,26,1,5.3,1,6,,,,,2,1,1,2,2,1,2,1,3,2,,,,,
682,Desmoncus,mitis,mitis,,AAU,Balslev,6649,Peru,3.48,-3.8,75.08,-75.13,,,,0.7,35,2.2,14,,,,0.6,6,0.9,4,,,,,2,1,1,2,2,1,2,1,3,2,,,,,
