Palm_genus,Palm_epithet,Palm_species,Country_of_sampling,State,Biome,Site_name,Lat,Long,Site_ID,Palm_ID,Seed_ID,Seed_diameter_mm,Collected_measured_by,Year_of_sampling
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,27,8.46,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,28,9.28,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,29,9.36,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,30,8.88,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,31,7.75,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,32,10.05,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,33,9.25,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,34,9.02,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,35,8.84,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,36,8.56,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,37,8.65,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,38,9.29,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,39,9.61,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,40,9.13,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,41,9.55,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,42,7.69,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,43,10.04,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,44,9.13,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,45,9.3,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,46,8.41,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,47,8.18,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,48,9.02,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,49,9.72,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,50,9.85,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,51,9.32,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,52,8.77,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,53,8.52,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,54,8.57,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,55,8.9,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,56,9.62,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,57,9.33,CarolineMarquesDracxler,2011/2012
