Number,Genus,Species,Subspecies,Collector,Collnumber,Herbarium,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Stemhe,Stemdi,Shpele,Rachle,Rachwi,Nodivi,Asymme,Bapiwi,Bapimi,Differ,Basang,Apiang,Appile,Pedlen,Prople,Pedble,Peduwi,Distan,Norlla,Rllale,Rllawi,Pitwid,Pitlen,Dispit,Stapit,Fruidi,Fruile,Leafno,Stemfo,Pitcoll,Petiol,Pedtom,Filifo,Inflor,Pbscar,Prophy,Pbract,Pbsurf,Pbfold,Rachil,Rlltom,Upplip,Stasep,Flapdist,Flap,Inflobud,Flowerbud,Openfls,Immfrs,Matfrs,Oldinflo,Racpro,Lobes,Proxpin,Leaf,Fruitcolor,Lgstemhe,Lgstemdi,Lgshpele,Lgrachle,Lgrachwi,Squnodivi,Lgasymme,Lgbasang,Lgapiang,Lgappile,Lgpedlen,Lgprople,Lgpedble,Lgpeduwi,Lgdistan,Squnorlla,Lgrllale,Lgrllawi,Lgdispit,Lgfruidi,Lgfruile,Lgflapdist,Rachillacolo
299,Calyptrogyne,allenii,centralis,Moore,10530,bh,panama,8.35,8.58,80.37,-80.62,,2,,,22.5,4.4,2,0,2,2.5,0.5,30,20,16,,,22.5,2.6,1.1,1,13.5,4.4,2,2.5,3,0,,,,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,2.5,1,jan,jan,,,,,0,0,0,1,,0.301029996,,,1.352182518,0.643452676,1.414213562,,1.477121255,1.301029996,1.204119983,,,1.352182518,0.414973348,0.041392685,1,1.130333768,0.643452676,0.477121255,,,0.397940009,0
19,Calyptrogyne,anomala,,de Nevers,6875,ny,panama,9.2,9.33,79.45,-79.75,350,,,26,32,2.4,1,0,,,,15,15,30,7,7,14.7,1.5,3.4,1,9.5,3.8,1.8,1.2,2,0,,,9,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,,0,jan,jan,jan,,,,0,0,0,0,,,,1.414973348,1.505149978,0.380211242,1,,1.176091259,1.176091259,1.477121255,0.84509804,0.84509804,1.167317335,0.176091259,0.531478917,1,0.977723605,0.579783597,0.301029996,,,,
20,Calyptrogyne,anomala,,de Nevers,7199,ny,panama,9.2,9.33,79.45,-79.75,350,,,27,35,3,1,2,,,,3,15,33.5,7.5,6.9,12.4,1.5,2,1,7.3,3.9,2.2,1.8,2.9,0,,,,1,1,0,1,0,2,2,0,1,1,1,0,0,0,,,0,,,,feb,,,0,0,0,0,,,,1.431363764,1.544068044,0.477121255,1,0.301029996,0.477121255,1.176091259,1.525044807,0.875061263,0.838849091,1.093421685,0.176091259,0.301029996,1,0.86332286,0.591064607,0.462397998,,,,
21,Calyptrogyne,anomala,,de Nevers,6243,ny,panama,9.18,9.3,79.16,-79.27,750,0.2,5,33.4,37,5.4,1,1,,,,19,17,31,15,10.6,13,3.1,1.7,3,6.4,4,2.3,2.1,3.3,0,,,15,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,4,1,nov,,nov,,nov,nov,0,0,0,0,,-0.698970004,0.698970004,1.523746467,1.568201724,0.73239376,1,0,1.278753601,1.230448921,1.491361694,1.176091259,1.025305865,1.113943352,0.491361694,0.230448921,1.732050808,0.806179974,0.602059991,0.51851394,,,0.602059991,
22,Calyptrogyne,anomala,,de Nevers,10654,ny,panama,9.2,9.33,79.45,-79.75,350,,,48.5,49,4.7,1,1,,,,7,12,33,11.8,14.5,19,3,3,2,9,3.9,2,1.2,4,0,,,7,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,,,,,mar,,mar,,0,0,0,0,,,,1.685741739,1.69019608,0.672097858,1,0,0.84509804,1.079181246,1.51851394,1.071882007,1.161368002,1.278753601,0.477121255,0.477121255,1.414213562,0.954242509,0.591064607,0.602059991,,,,0
25,Calyptrogyne,anomala,,de Nevers,6958,ny,panama,9.2,9.33,79.08,-79.13,450,0.1,,56,37.5,3.5,1,2,,,,16,13,32.5,15,12,16.5,3.6,1.9,3,8,4,2.7,1.2,3,2,,,16,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,1.1,1,feb,feb,,,,feb,0,0,0,0,,-1,,1.748188027,1.574031268,0.544068044,1,0.301029996,1.204119983,1.113943352,1.511883361,1.176091259,1.079181246,1.217483944,0.556302501,0.278753601,1.732050808,0.903089987,0.602059991,0.477121255,,,0.041392685,0
23,Calyptrogyne,anomala,,de Nevers,5416,ny,panama,9.18,9.3,79.16,-79.27,850,0.5,,72,34.5,4,1,3,,,,11,14,35,15,13.5,13.8,3.8,1.7,2,8.4,4.1,2,2,2.5,0,,,,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,,,,apr,,,,apr,0,0,0,0,,-0.301029996,,1.857332496,1.537819095,0.602059991,1,0.477121255,1.041392685,1.146128036,1.544068044,1.176091259,1.130333768,1.139879086,0.579783597,0.230448921,1.414213562,0.924279286,0.612783857,0.397940009,,,,0
152,Calyptrogyne,anomala,,Hammel,14487,cas,panama,9.23,9.38,79.45,-79.66,500,,,70,46,3.3,1,0,,,,6,,38,7,9.7,10.5,2.5,0.7,2,7,3.9,2.2,2,2.5,1,,,,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,,0,,,,,,feb,0,0,0,0,,,,1.84509804,1.662757832,0.51851394,1,,0.77815125,,1.579783597,0.84509804,0.986771734,1.021189299,0.397940009,-0.15490196,1.414213562,0.84509804,0.591064607,0.397940009,,,,0
24,Calyptrogyne,anomala,,de Nevers,6322,ny,panama,9.19,9.32,78.55,-78.92,150,0.3,4,32,42,5.4,1,1.5,,,,15,19,27.5,26,14,24.5,7.6,4,4,12.3,5.2,2.1,2.3,2.6,1,,,9,1,1,0,1,0,2,2,0,1,1,1,1,0,0,0,4.5,1,,nov,,nov,,,0,0,0,0,,-0.522878745,0.602059991,1.505149978,1.62324929,0.73239376,1,0.176091259,1.176091259,1.278753601,1.439332694,1.414973348,1.146128036,1.389166084,0.880813592,0.602059991,2,1.089905111,0.716003344,0.414973348,,,0.653212514,0
107,Calyptrogyne,anomala,,Herrera,1201,f,panama,9.22,9.37,78.35,-78.58,85,0.1,,,,,,,,,,,20,,52,26,24,8.2,6,5,12,4.8,2,2.1,4,0,,,13,1,1,1,1,0,2,2,0,1,1,1,1,0,0,0,,,,jul,,,,,0,0,0,1,,-1,,,,,,,,1.301029996,,1.716003344,1.414973348,1.380211242,0.913813852,0.77815125,2.236067977,1.079181246,0.681241237,0.602059991,,,,
