Number,Genus,Species,Subspecies,Collector,Collnumber,Herbarium,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Stemhe,Stemdi,Shpele,Rachle,Rachwi,Nodivi,Asymme,Bapiwi,Bapimi,Differ,Basang,Apiang,Appile,Pedlen,Prople,Pedble,Peduwi,Distan,Norlla,Rllale,Rllawi,Pitwid,Pitlen,Dispit,Stapit,Fruidi,Fruile,Leafno,Stemfo,Pitcoll,Petiol,Pedtom,Filifo,Inflor,Pbscar,Prophy,Pbract,Pbsurf,Pbfold,Rachil,Rlltom,Upplip,Stasep,Flapdist,Flap,Inflobud,Flowerbud,Openfls,Immfrs,Matfrs,Oldinflo,Racpro,Lobes,Proxpin,Leaf,Fruitcolor,Lgstemhe,Lgstemdi,Lgshpele,Lgrachle,Lgrachwi,Squnodivi,Lgasymme,Lgbasang,Lgapiang,Lgappile,Lgpedlen,Lgprople,Lgpedble,Lgpeduwi,Lgdistan,Squnorlla,Lgrllale,Lgrllawi,Lgdispit,Lgfruidi,Lgfruile,Lgflapdist,Rachillacolo
428,Calyptrogyne,brachystachys,,Gomez,23330,mo,costa rica,10.17,10.28,84.1,-84.17,900,,,,21.9,2.3,2,0,2.6,3.5,0.9,38,16,21.5,,,,2.1,0.9,1,11.5,3.2,1.5,2.2,3,,,,,,1,0,1,0,0,0,0,0,,,0,0,0,,,,,,,aug,,,,0,0,1,,,,,1.340444115,0.361727836,1.414213562,,1.579783597,1.204119983,1.33243846,,,,0.322219295,-0.045757491,1,1.06069784,0.505149978,0.477121255,,,,
59,Calyptrogyne,brachystachys,,de Nevers,7767,ny,costa rica,10.1,10.17,84.3,-84.5,850,,,65,31.5,3.4,3,0.5,2,5,3,45,12,23,96,25.7,,2.6,0.7,1,22.5,4.3,1.8,2.4,2.2,2,7,10.1,10.5,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,1,1,may,,,,may,,1,1,0,1,,,,1.812913357,1.498310554,0.531478917,1.732050808,-0.301029996,1.653212514,1.079181246,1.361727836,1.982271233,1.409933123,,0.414973348,-0.15490196,1,1.352182518,0.633468456,0.342422681,0.84509804,1.004321374,0,
429,Calyptrogyne,brachystachys,,Chacon,2163,mo,costa rica,10.56,10.93,85.27,-85.45,850,,,,20,2.9,2,0,3,3.6,0.6,33,21,17,,,,2.8,1.1,1,15.2,2.9,2,2,3.7,2,,,,,1,0,1,0,0,0,0,0,,,0,0,0,,1,1,,,,jul,,,0,0,0,1,,,,,1.301029996,0.462397998,1.414213562,,1.51851394,1.322219295,1.230448921,,,,0.447158031,0.041392685,1,1.181843588,0.462397998,0.568201724,,,0,
103,Calyptrogyne,brachystachys,,Smith,1496,ny,costa rica,10.15,10.25,84.25,-84.42,1450,,,,,,,,,,,,,,,,,3.3,1.2,1,20.1,4.4,2,2,2.8,1,,,,1,1,,1,0,0,0,,0,,,0,0,0,,,,,,,jan,,,,0,0,1,,,,,,,,,,,,,,,0.51851394,0.079181246,1,1.303196057,0.643452676,0.447158031,,,,
102,Calyptrogyne,brachystachys,,Brenes,9779,ny,costa rica,10.06,10.1,84.28,-84.47,1200,,,,,,,,,,,,,,,,,5.6,1.9,1,26.3,5.6,2.7,3.2,4.8,0,,,,,1,1,1,,0,0,,0,,,0,0,0,,,,,,sep,,,,,1,0,1,,,,,,,,,,,,,,,0.748188027,0.278753601,1,1.419955748,0.748188027,0.681241237,,,,
101,Calyptrogyne,brachystachys,,Burger,9657,ny,costa rica,10.18,10.3,84.47,-84.78,1550,,,,25.7,2.2,5,0,1.2,2.5,1.3,56,13,24,,,,3,1.2,1,12.7,4.1,2.5,1.9,3.1,0,,,,1,1,1,1,0,0,0,1,0,,,0,0,0,,1.1,1,,oct,oct,,oct,,1,1,0,1,black,,,,1.409933123,0.342422681,2.236067977,,1.748188027,1.113943352,1.380211242,,,,0.477121255,0.079181246,1,1.103803721,0.612783857,0.491361694,,,0.041392685,
445,Calyptrogyne,brachystachys,,Hammel,15374,mo,costa rica,10.19,10.32,84.43,-84.72,900,,,69.5,35.5,3.2,3,0.7,5.6,7,1.4,40,20,25,,,,3.1,2.5,1,,4.8,2,3.4,4,2,6.9,10.4,,1,1,,1,0,0,0,,0,,,0,0,0,,,,,,,,jun,,,1,0,1,,,,1.841984805,1.550228353,0.505149978,1.732050808,-0.15490196,1.602059991,1.301029996,1.397940009,,,,0.491361694,0.397940009,1,,0.681241237,0.602059991,0.838849091,1.017033339,,0
446,Calyptrogyne,brachystachys,,Hammel,15370,mo,costa rica,10.19,10.32,84.43,-84.72,1400,,,117.5,51,,,,,,,,,,,,,3.6,0.9,1,20.2,4.8,2.1,2,3.7,2,8.6,12.3,,1,1,,1,0,0,0,,0,,,0,0,0,,,,,,,,jun,,,,0,1,,,,2.070037867,1.707570176,,,,,,,,,,0.556302501,-0.045757491,1,1.305351369,0.681241237,0.568201724,0.934498451,1.089905111,,0
91,Calyptrogyne,brachystachys,,Hill,17661,ny,costa rica,10.18,10.3,84.48,-84.8,1450,,,,22,2.6,2,0.7,4,5.3,1.3,40,30,20.5,,,,2.3,0.8,1,11.3,3.7,2.5,2.4,3.8,1,,,,1,1,1,1,0,0,0,,0,,,0,0,0,,,,,,jan,,,,,0,0,1,,,,,1.342422681,0.414973348,1.414213562,-0.15490196,1.602059991,1.477121255,1.311753861,,,,0.361727836,-0.096910013,1,1.053078443,0.568201724,0.579783597,,,,0
110,Calyptrogyne,brachystachys,,Burger,7787,f,costa rica,10.48,10.8,85.21,-85.35,1400,,,,23.2,3.3,9,0.5,0.9,1.6,0.7,44,20,15.5,,,,1.7,1.7,1,17.6,3.8,2.3,2,3.7,2,6.5,9.5,,1,1,1,1,0,0,0,1,0,,,0,0,0,,2,1,,,,,jul,,0,1,0,1,,,,,1.365487985,0.51851394,3,-0.301029996,1.643452676,1.301029996,1.190331698,,,,0.230448921,0.230448921,1,1.245512668,0.579783597,0.568201724,0.812913357,0.977723605,0.301029996,0
420,Calyptrogyne,brachystachys,,Grayum,6128,mo,costa rica,10.04,10.07,84.01,-84.02,1550,,,,46,4,5,1,6,6.6,0.6,45,10,,,,21.6,3.1,1.8,1,18,4.6,2,2.7,3.8,2,7.2,10.8,,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,,,,jan,,,jan,,,0,0,1,black,,,,1.662757832,0.602059991,2.236067977,0,1.653212514,1,,,,1.334453751,0.491361694,0.255272505,1,1.255272505,0.662757832,0.579783597,0.857332496,1.033423755,,0
120,Calyptrogyne,brachystachys,,Brenes,3563,f,costa rica,10.06,10.1,84.28,-84.47,1200,,,,,,,,,,,,,,,,37.5,4.2,2.1,1,24.1,5.1,3.5,3,3.5,0,8,11,,,1,,1,,0,0,1,0,0,0,0,0,0,,,,,nov,,,nov,,,,0,1,,,,,,,,,,,,,,1.574031268,0.62324929,0.322219295,1,1.382017043,0.707570176,0.544068044,0.903089987,1.041392685,,
121,Calyptrogyne,brachystachys,,Brenes,15666,f,costa rica,10.28,10.47,84.55,-84.92,,,,,,,,,,,,,,,,,,3.4,1.3,1,17.5,5,3,3,4.2,2,7.3,8.7,,,1,1,1,0,0,0,,0,,,0,0,0,,,,,,,,may,,,,0,1,,,,,,,,,,,,,,,0.531478917,0.113943352,1,1.243038049,0.698970004,0.62324929,0.86332286,0.939519253,,
122,Calyptrogyne,brachystachys,,Brenes,3796,f,costa rica,10.06,10.1,84.28,-84.47,1275,,,,,,,,,,,,,,,,,5,1.5,1,21.2,5.3,3.1,3,3.7,0,,,,,1,1,1,,0,0,,0,,,0,0,0,0,,,,dec,,,,,,,0,1,,,,,,,,,,,,,,,0.698970004,0.176091259,1,1.326335861,0.72427587,0.568201724,,,,
123,Calyptrogyne,brachystachys,,Brenes,4962,f,costa rica,10.06,10.1,84.28,-84.47,1060,,,,,,,,,,,,,,,,,4.6,1.7,1,29.8,4.5,2.7,3.7,5,0,,,,,1,1,1,,0,0,,0,,,0,0,0,0,,,,sep,,,,,,0,0,1,,,,,,,,,,,,,,,0.662757832,0.230448921,1,1.474216264,0.653212514,0.698970004,,,,
118,Calyptrogyne,brachystachys,,Utley,3276,f,costa rica,10.41,10.68,85.05,-85.08,440,,,,34.3,2.9,2,1.4,5.9,5.9,0,37,21,21.6,,,,2.8,1.1,1,16.4,3.4,2.3,2.5,2.7,2,,,,,1,1,1,0,0,0,,0,,,0,0,0,,4.5,1,,,,,sep,sep,0,0,0,1,black,,,,1.53529412,0.462397998,1.414213562,0.146128036,1.568201724,1.322219295,1.334453751,,,,0.447158031,0.041392685,1,1.214843848,0.531478917,0.431363764,,,0.653212514,0
419,Calyptrogyne,brachystachys,,Grayum,6694,mo,costa rica,10.17,10.28,84.04,-84.07,725,,,,34,1.9,2,1,5.6,5.5,-0.1,42,16,30.5,,,,3.7,0.9,1,19.6,4.1,2,2.3,4,2,7.6,12.2,,1,1,0,1,0,0,0,0,0,,,0,0,0,,,,,,,,apr,,,0,0,1,,,,,1.531478917,0.278753601,1.414213562,0,1.62324929,1.204119983,1.484299839,,,,0.568201724,-0.045757491,1,1.292256071,0.612783857,0.602059991,0.880813592,1.086359831,,0
424,Calyptrogyne,brachystachys,,Grayum,7045,mo,costa rica,10.13,10.22,84.05,-84.08,1500,,,,22.5,1.8,2,0,3.8,6.4,2.6,57,17,20.5,,,,3.3,0.6,1,13.2,3.9,2.5,2,5,1,,,,1,1,0,1,0,0,0,,0,,,0,0,0,,,,,,,apr,,,,1,0,1,,,,,1.352182518,0.255272505,1.414213562,,1.755874856,1.230448921,1.311753861,,,,0.51851394,-0.22184875,1,1.120573931,0.591064607,0.698970004,,,,0
423,Calyptrogyne,brachystachys,,Koptur,276,mo,costa rica,10.17,10.28,84.48,-84.8,1520,,,,19.8,2.7,5,0,2.8,4.4,1.6,50,20,21.5,,,,3.1,1,1,16.2,4.6,2.5,2.5,3.4,1,7.9,12,,1,1,0,1,0,0,0,,0,,,0,0,0,,,,,,,dec,dec,,,0,0,1,,,,,1.29666519,0.431363764,2.236067977,,1.698970004,1.301029996,1.33243846,,,,0.491361694,0,1,1.209515015,0.662757832,0.531478917,0.897627091,1.079181246,,
422,Calyptrogyne,brachystachys,,Fuentes,219,mo,costa rica,10.16,10.27,84.49,-84.82,1100,,,,27,,,0.5,,,,,20,17.7,,,,2.7,0.6,1,15.3,4.6,1.8,3.5,3,2,,,,1,1,0,1,0,0,0,0,0,,,0,0,0,,,,,,,,,mar,,1,0,1,black,,,,1.431363764,,,-0.301029996,,1.301029996,1.247973266,,,,0.431363764,-0.22184875,1,1.184691431,0.662757832,0.477121255,,,,0
421,Calyptrogyne,brachystachys,,Moraga,195,mo,costa rica,10.59,10.98,85.25,-85.42,700,,,,30,2.1,2,0,5.1,4.4,-0.7,39,11,26,,,,2.4,0.8,1,13.8,3,1.7,1.7,4.4,2,,,,,1,0,1,0,0,0,0,0,,,0,0,0,,,,,,,,,nov,,0,0,1,,,,,1.477121255,0.322219295,1.414213562,,1.591064607,1.041392685,1.414973348,,,,0.380211242,-0.096910013,1,1.139879086,0.477121255,0.643452676,,,,
119,Calyptrogyne,brachystachys,,Brenes,20464,f,costa rica,10.06,10.1,84.28,-84.47,,,,,,,,,,,,,,,,,,3.8,3.4,1,,4.9,2.5,3.8,3.7,2,7.6,11,,,1,,1,,0,0,1,0,,,0,0,0,,,,,,,,mar,,,,0,1,,,,,,,,,,,,,,,0.579783597,0.531478917,1,,0.69019608,0.568201724,0.880813592,1.041392685,,
116,Calyptrogyne,brachystachys,,Dryer,422,f,costa rica,10.2,10.33,84.5,-84.83,1580,,,,46,2.8,3,0.5,,,,35,16,21.5,,,,3.7,2.9,1,17.2,4.5,2.3,4,5.5,1,,,,,1,0,1,0,0,0,,0,,,0,0,0,,,,,,,jun,,,,1,0,1,black,,,,1.662757832,0.447158031,1.732050808,-0.301029996,1.544068044,1.204119983,1.33243846,,,,0.568201724,0.462397998,1,1.235528447,0.653212514,0.740362689,,,,0
487,Calyptrogyne,coloradensis,,McPherson,9573,mo,panama,8.35,8.58,81.45,-81.75,1500,,,,23.6,2.3,1,0.1,,,,25,23,18.8,,,,3.4,1.5,1,13.2,4.8,2,2.5,4,1,,,,1,1,1,1,0,0,1,,0,,,0,0,1,,,1,,,,jun,,,1,0,0,0,,,,,1.372912003,0.361727836,1,-1,1.397940009,1.361727836,1.274157849,,,,0.531478917,0.176091259,1,1.120573931,0.681241237,0.602059991,,,,1
231,Calyptrogyne,coloradensis,,Hammel,14897,cas,panama,8.3,8.5,81.45,-81.75,1450,,,,26,2,1,0.6,,,,21,22,17.5,,,,2.5,2,1,13.7,4.1,2,2.4,4.6,0,,,,1,1,,1,,0,1,,0,,,0,0,1,0,-0.2,1,,,mar,,,,1,0,0,0,,,,,1.414973348,0.301029996,1,-0.22184875,1.322219295,1.342422681,1.243038049,,,,0.397940009,0.301029996,1,1.136720567,0.612783857,0.662757832,,,,1
230,Calyptrogyne,coloradensis,,Hammel,14929,cas,panama,8.3,8.5,81.45,-81.75,1425,,,,24.5,3,1,0.3,,,,23,10,26.5,,,,2.7,0.9,1,14.5,4,2,2.5,3.7,,,,,1,1,1,1,0,0,1,,0,,,0,0,1,,0.8,1,,,,,,mar,,0,0,0,,,,,1.389166084,0.477121255,1,-0.522878745,1.361727836,1,1.423245874,,,,0.431363764,-0.045757491,1,1.161368002,0.602059991,0.568201724,,,-0.096910013,1
486,Calyptrogyne,coloradensis,,DArcy,16348,mo,panama,8.35,8.58,81.45,-81.75,1500,,,,22,2.8,1,0.5,,,,30,18,18,,,,3,1.3,1,15.5,4.5,2.5,3,3.8,1,,,,,1,1,1,0,0,1,0,0,,,0,0,1,,-0.1,1,,,,jun,,,1,0,0,0,,,,,1.342422681,0.447158031,1,-0.301029996,1.477121255,1.255272505,1.255272505,,,,0.477121255,0.113943352,1,1.190331698,0.653212514,0.579783597,,,,1
378,Calyptrogyne,condensata,,Grayum,8001,mo,costa rica,9.34,9.56,82.4,-82.67,30,,,,,,,,,,,,,,,,,4.1,0.8,1,12.7,6.3,1.7,1.5,1.4,1,,,,1,1,,1,0,0,3,,0,1,0,0,1,1,0,,,,jan,,jan,,,,,0,1,,,,,,,,,,,,,,,0.612783857,-0.096910013,1,1.103803721,0.799340549,0.146128036,,,,
341,Calyptrogyne,condensata,,Croat,16268,mo,panama,9.22,9.37,82.27,-82.45,,,,,,,,,,,,,,,,,19.7,4.6,1.3,1,14.5,4.7,1.9,2.1,1.9,0,,,,,1,1,1,,0,3,,0,1,0,0,1,1,,,,,,jul,,,,0,0,0,1,,,,,,,,,,,,,,1.294466226,0.662757832,0.113943352,1,1.161368002,0.672097858,0.278753601,,,,
259,Calyptrogyne,condensata,,von Wedel,2972,bh,panama,9.25,9.42,82.15,-82.25,,,,,,,,,,,,,,,,,,5.5,0.5,1,12.3,4.7,2,2,2,2,5.9,10.1,,,1,,1,,0,3,,0,,,0,1,1,,,,,,,,nov,,,,0,1,,,,,,,,,,,,,,,0.740362689,-0.301029996,1,1.089905111,0.672097858,0.301029996,0.770852012,1.004321374,,0
379,Calyptrogyne,condensata,,Grayum,4310,mo,costa rica,9.38,9.63,82.39,-82.65,5,,,,,,,,,,,,28,,,,,5.2,1,1,11.1,4.7,2.1,1.5,1.4,0,,,,1,1,1,1,1,0,3,,0,,,0,1,1,0,,,,nov,,,,,0,0,0,1,,,,,,,,,,1.447158031,,,,,0.716003344,0,1,1.045322979,0.672097858,0.146128036,,,,
146,Calyptrogyne,condensata,,Dunlap,117,f,panama,9.25,9.42,82.34,-82.57,,,,,,,,,,,,,,,,,,4,1.4,1,9.6,5.1,1.5,1.7,0.7,0,,,,,1,,1,1,0,3,,0,,,0,1,1,0,,,,jan,,,,,,0,0,1,,,,,,,,,,,,,,,0.602059991,0.146128036,1,0.982271233,0.707570176,-0.15490196,,,,
261,Calyptrogyne,costatifrons,costatifrons,Galdames,1150,scz,panama,9.2,9.33,79.46,-79.77,300,,3,,,7.5,,,,,,36,20,,,,,4.1,2.2,1,31.5,6,2.3,2.3,3.5,2,8.2,14.9,,0,1,1,1,,1,1,,0,,,0,0,0,,,,,,,,jun,,0,0,0,1,black,,0.477121255,,,0.875061263,,,1.556302501,1.301029996,,,,,0.612783857,0.342422681,1,1.498310554,0.77815125,0.544068044,0.913813852,1.173186268,,0
280,Calyptrogyne,costatifrons,costatifrons,Knudsen,611,pma,panama,9.19,9.32,78.55,-78.92,,1.75,2.5,,,,,,,,,,,,,,,5.2,0.9,1,29,5.3,2.3,2.2,3.2,1,10,15.3,21,0,1,1,1,,1,1,,0,,,0,0,0,,,,,,,,oct,,0,0,0,1,black,0.243038049,0.397940009,,,,,,,,,,,,0.716003344,-0.045757491,1,1.462397998,0.72427587,0.505149978,1,1.184691431,,
542,Calyptrogyne,costatifrons,costatifrons,Stimson,5133,mo,panama,9.1,9.17,79.27,-79.45,,,,,41.1,7.2,8,2,,,,55,21,,,,,4,1.5,1,29,6.6,2.5,2.2,4.5,2,,,,0,1,1,1,1,1,1,,0,,,0,0,0,,,,,,,jun,,,0,0,0,1,,,,,1.613841822,0.857332496,2.828427125,0.301029996,1.740362689,1.322219295,,,,,0.602059991,0.176091259,1,1.462397998,0.819543936,0.653212514,,,,
275,Calyptrogyne,costatifrons,costatifrons,Nee,7036,pma,panama,9.1,9.17,79.25,-79.42,675,,,,,,,,,,,,21,27,,,34.5,3.4,1.8,1,30.1,6.3,2.5,2.4,5,2,9.8,15.4,,0,1,1,1,1,1,1,,0,1,1,0,0,0,,,,sep,,,,sep,,0,0,0,1,black,,,,,,,,,1.322219295,1.431363764,,,1.537819095,0.531478917,0.255272505,1,1.478566496,0.799340549,0.698970004,0.991226076,1.187520721,,0
269,Calyptrogyne,costatifrons,costatifrons,Porter,4107,bh,panama,9.1,9.17,79.25,-79.42,,,,,,7.3,10,2.8,1,2.7,1.7,56,22,,,,,4.9,2.4,1,35,6.2,3,2.5,3.6,2,9,16.3,,0,1,1,1,1,1,1,,0,,,0,0,0,,,,,,,,mar,,,,0,1,brown,,,,,0.86332286,3.16227766,0.447158031,1.748188027,1.342422681,,,,,0.69019608,0.380211242,1,1.544068044,0.792391689,0.556302501,0.954242509,1.212187604,,0
546,Calyptrogyne,costatifrons,costatifrons,Hammel,4869,mo,panama,9.15,9.25,79.17,-79.28,866,,,,48,4.8,5,3,1,1.8,0.8,66,25,,,,,2.9,0.9,1,23.5,5.7,2.5,2.2,3,2,8.6,13.5,,0,1,1,1,0,1,1,0,0,,,0,0,0,,,,,,,,sep,,0,0,0,1,,,,,1.681241237,0.681241237,2.236067977,0.477121255,1.819543936,1.397940009,,,,,0.462397998,-0.045757491,1,1.371067862,0.755874856,0.477121255,0.934498451,1.130333768,,
544,Calyptrogyne,costatifrons,costatifrons,Porter,4105,mo,panama,9.1,9.17,79.27,-79.45,,,,,,,,,,,,,,,,,,3,0.9,1,17.2,4.5,2.5,2.3,3.5,1,,,,0,1,1,1,,1,1,,0,,,0,0,0,,,,,,,mar,,,0,0,0,1,,,,,,,,,,,,,,,0.477121255,-0.045757491,1,1.235528447,0.653212514,0.544068044,,,,
545,Calyptrogyne,costatifrons,costatifrons,Gentry,6131,mo,panama,9.1,9.17,79.27,-79.45,600,,,,,7,,,,,,62,,,,,,4.2,1.2,1,32.6,6,2.7,2,5.2,1,,,,0,1,1,1,,1,1,0,0,1,1,0,0,0,0,,,,sep,,sep,,,0,0,0,1,black,,,,,0.84509804,,,1.792391689,,,,,,0.62324929,0.079181246,1,1.5132176,0.77815125,0.716003344,,,,
276,Calyptrogyne,costatifrons,costatifrons,King,5251,bh,panama,9.1,9.17,79.25,-79.42,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,1,1,,0,,,0,0,0,,,,,,,,,,0,0,0,1,,,,,,,,0.86923172,,,,,,,,,,,,,,,,
282,Calyptrogyne,costatifrons,costatifrons,Croat,11542,pma,panama,9.1,9.17,79.25,-79.42,,2.5,,,,,,,,,,,,,,,,3.9,1.4,1,22,7.3,2.5,2.5,3.5,2,8.3,14.7,,,1,1,1,,1,1,,0,,,0,0,0,,,,,,,,jul,,0,0,0,1,,0.397940009,,,,,,,,,,,,,0.591064607,0.146128036,1,1.342422681,0.86332286,0.544068044,0.919078092,1.167317335,,0
281,Calyptrogyne,costatifrons,costatifrons,Fairchild,2639,bh,panama,,,,,,,,,57.9,6.5,10,1.6,,,,22,23,36,,,,3.7,0.9,1,22,5.4,2,2,3,2,9.1,15.8,,0,1,1,1,0,1,1,,0,1,1,0,0,0,,18.3,1,,,,,jul,,0,0,0,1,,,,,1.762678564,0.812913357,3.16227766,0.204119983,1.342422681,1.361727836,1.556302501,,,,0.568201724,-0.045757491,1,1.342422681,0.73239376,0.477121255,0.959041392,1.198657087,1.26245109,
536,Calyptrogyne,costatifrons,costatifrons,Mori,1792,mo,panama,9.2,9.33,79.47,-79.78,,,,,,,,,,,,,,,,,,,2.1,1,35,6.7,2.5,2.2,3,2,9.6,15.5,,0,1,,1,,1,1,,0,,,0,0,0,,,,,,,,sep,,,,,1,,,,,,,,,,,,,,,,0.322219295,1,1.544068044,0.826074803,0.477121255,0.982271233,1.190331698,,0
537,Calyptrogyne,costatifrons,costatifrons,Croat,13885,mo,panama,9.2,9.33,79.47,-79.78,,,,,,,,,,,,,,,,,,,1.4,1,,,,,,,,,,0,1,1,1,,1,1,,0,,,0,0,0,,,,,,,mar,,,0,0,0,1,,,,,,,,,,,,,,,,0.146128036,1,,,,,,,0
260,Calyptrogyne,costatifrons,costatifrons,Knudsen,621,scz,panama,9.19,9.32,78.55,-78.92,,2,,,,,,,3,4,1,25,15,42.6,,,39,5.8,1.4,1,26,6,2.4,2.4,4.5,0,,,,0,1,1,1,1,1,1,,0,1,1,0,0,0,0,,,,oct,,,,,0,0,0,1,,0.301029996,,,,,,,1.397940009,1.176091259,1.629409599,,,1.591064607,0.763427994,0.146128036,1,1.414973348,0.77815125,0.653212514,,,,
256,Calyptrogyne,costatifrons,costatifrons,Knudsen,603,pma,panama,9.19,9.32,78.55,-78.92,200,2,2.5,,,6.7,,,1.8,2.6,0.8,34,20,,,,,4.5,1.1,1,22.5,6.7,3.5,2.5,4.3,2,9.9,16.5,,0,1,1,1,0,1,1,,0,,,0,0,0,,19,1,,,,,oct,,0,0,0,1,black,0.301029996,0.397940009,,,0.826074803,,,1.531478917,1.301029996,,,,,0.653212514,0.041392685,1,1.352182518,0.826074803,0.633468456,0.995635195,1.217483944,1.278753601,0
373,Calyptrogyne,costatifrons,costatifrons,McDonagh,138,mo,panama,9.18,9.3,78.58,-78.97,400,,,,,,,,,,,,,,,,,4.6,0.9,1,23,4.9,2,2.9,3.2,2,10.4,16.2,,0,1,,1,,1,1,,0,,,0,0,0,,,,,,,,jul,,,0,0,1,brown,,,,,,,,,,,,,,0.662757832,-0.045757491,1,1.361727836,0.69019608,0.505149978,1.017033339,1.209515015,,0
370,Calyptrogyne,costatifrons,costatifrons,de Nevers,4291,mo,panama,9.19,9.32,78.55,-78.92,275,3,,,55.5,7.5,5,1.5,3.8,4.2,0.4,34,23,,,,,5.5,1.6,1,20.7,4.6,2.2,2,2.7,0,,,,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,12.5,1,,,nov,,,,0,0,0,1,,0.477121255,,,1.744292983,0.875061263,2.236067977,0.176091259,1.531478917,1.361727836,,,,,0.740362689,0.204119983,1,1.315970345,0.662757832,0.431363764,,,1.096910013,
543,Calyptrogyne,costatifrons,costatifrons,Dwyer,7113,mo,panama,9.1,9.17,79.27,-79.45,,,,,,,,,,,,,20,,,,,3.7,1,1,24.7,4.5,2.5,1.5,4,0,,,,0,1,,1,0,1,1,,0,,,0,0,0,0,,,,,nov,,,,,,,1,,,,,,,,,,1.301029996,,,,,0.568201724,0,1,1.392696953,0.653212514,0.602059991,,,,
278,Calyptrogyne,costatifrons,costatifrons,Correa,11542,pma,panama,9.2,9.33,79.46,-79.77,225,,,42.5,,,,,,,,,25,,,,,2.9,1.6,1,26.5,4.8,2.5,2.5,2.5,1,,,,0,1,1,1,0,1,1,,0,,,0,0,0,,,,,,,may,,,0,0,0,1,,,,1.62838893,,,,,,1.397940009,,,,,0.462397998,0.204119983,1,1.423245874,0.681241237,0.397940009,,,,0
277,Calyptrogyne,costatifrons,costatifrons,,4101,scz,panama,9.1,9.17,79.25,-79.42,,,3,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,,1,,,,,,,,,,,,,,,,,0,0,0,1,,,0.477121255,,,,,0.361727836,,,,,,,,,,,,,,,,
268,Calyptrogyne,costatifrons,costatifrons,Kennedy,2561,bh,panama,9.19,9.32,78.55,-78.92,,,3,,,7.4,,6.3,0.8,1.3,0.5,39,16,38,,,,4.6,1.4,1,25,5.5,2.5,2.3,3,2,10.9,19.4,,0,1,1,1,0,1,1,,0,,,0,0,0,,28.8,1,,,,,feb,,0,0,0,1,brown,,0.477121255,,,0.86923172,,0.799340549,1.591064607,1.204119983,1.579783597,,,,0.662757832,0.146128036,1,1.397940009,0.740362689,0.477121255,1.037426498,1.28780173,1.459392488,0
547,Calyptrogyne,costatifrons,costatifrons,Folsom,5668,mo,panama,9.15,9.25,79.17,-79.28,800,,,,,,,,,,,,,,,,,3.8,1.2,1,21.4,6.3,3.1,2,3.2,2,8.6,14.5,,0,1,1,1,0,1,1,0,0,,,0,0,0,,,,,,,,sep,,0,0,0,1,,,,,,,,,,,,,,,0.579783597,0.079181246,1,1.330413773,0.799340549,0.505149978,0.934498451,1.161368002,,
559,Calyptrogyne,costatifrons,costatifrons,de Nevers,6450,mo,panama,9.25,9.42,79.07,-79.12,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,0,0,,,0,0,0,0,,,,dec,,,,,0,0,0,1,,0.544068044,,,,,,,,,,,,,,,,,,,,,,0
558,Calyptrogyne,costatifrons,costatifrons,Folsom,1401,mo,panama,9.15,9.25,78.55,-78.92,425,,,,,,,,,,,,,,,,30.5,4.6,0.8,1,23.5,6.3,3,2.5,4.5,2,,,,,1,1,1,0,1,1,,0,1,1,0,0,0,,,,,,,jan,,,0,0,0,1,brown,,,,,,,,,,,,,1.484299839,0.662757832,-0.096910013,1,1.371067862,0.799340549,0.653212514,,,,
255,Calyptrogyne,costatifrons,costatifrons,Knudsen,622,pma,panama,9.19,9.32,78.55,-78.92,200,2.5,3,,,7.8,,4,,,,22,14,37.7,,,,,,,,,,,,,,,,,1,1,1,0,1,,,,,,,,,,,,,,,,,,0,0,0,1,,0.397940009,0.477121255,,,0.892094603,,0.602059991,1.342422681,1.146128036,1.57634135,,,,,,,,,,,,,
557,Calyptrogyne,costatifrons,costatifrons,Antonio,1695,mo,panama,9.15,9.25,78.55,-78.92,400,,,,51,5.4,3,0,,,,22,,,,,27,4.1,0.7,1,21,5.3,2.1,2,3.4,0,,,,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,,,,aug,,,,,0,0,0,1,,,,,1.707570176,0.73239376,1.732050808,,1.342422681,,,,,1.431363764,0.612783857,-0.15490196,1,1.322219295,0.72427587,0.531478917,,,,
556,Calyptrogyne,costatifrons,costatifrons,Busey,363,mo,panama,9.18,9.3,78.55,-78.92,400,,,,,,,,,,,,,,,,,4.9,1.2,1,23.5,5.5,3,1.8,3.5,1,,,,0,1,1,1,,1,1,,0,,,0,0,0,,,,,,,feb,,,0,0,0,1,brown,,,,,,,,,,,,,,0.69019608,0.079181246,1,1.371067862,0.740362689,0.544068044,,,,
