Herbariu,Genus,Species,Collecto,Number,Country,Latitude,Longitud,Elevatio,Stemheig,Stemdiam,Stemclus,Stemclus,Pinclust,Pinnaecl,Lenmidpi,Widmidpi,Lfratio,Anglepin,Noveins,Inflobra,Nobracts,Lenpedun,Lenrachi,Widrachi,Ratiorac,Norachil,Lenbasra,Lenmidra,Lenapira,Nostamfl,Nostamen,Lenfruit,Widfruit,Ratiofru,Endosper,Norumina,Deprumin,Orders,Numracllae
mo,Synechanthus,warscewiczianus,Croat,59976,Panama,8.43,82.17,115,3,,,,reg,1,,,,39,,1,7,0.398,0.104,4.1,39.42307692,33,0.17,0.145,0.13,7,3,0.0152,0.009,0.592105263,rum,8,2,,
mo,Synechanthus,warscewiczianus,Croat,68807,Panama,8.38,80.36,,,,,,reg,1,,,,37,,1,,0.465,0.088,2.6,29.54545455,23,0.191,0.171,0.136,7,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Croat,7010,Panama,9.1,79.53,,,,,,reg,1,0.474,0.063,0.132911392,45,12,1,8,0.581,0.224,3.4,15.17857143,,0.295,,0.18,7,,,,,,,,,
ny,Synechanthus,warscewiczianus,Croat,70366,Colombia,4.09,77.11,100,,0.025,,,reg,1,,,,,,1,7,0.238,0.045,,,17,0.13,0.115,0.1,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Darcy,16066,Panama,9.17,79.35,900,,,,,reg,1,0.19,0.022,0.115789474,33,6,1,6,0.407,0.035,3.9,111.4285714,14,0.156,0.147,0.121,5,,0.011,0.0056,0.509090909,rum,8,1.8,,
mo,Synechanthus,warscewiczianus,Davidse,10099,Panama,9.3,79.4,100,,,,,reg,1,,,,30,,1,9,0.527,0.192,3.4,17.70833333,66,,,,7,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Davidse,23625,Panama,8.41,80.37,300,,,sol,1,reg,1,0.5,0.091,0.182,33,18,1,,,0.134,2.8,20.89552239,68,0.175,0.155,0.077,7,,0.0094,0.0048,0.510638298,rum,7,1.3,,
mo,Synechanthus,warscewiczianus,Davidse,23706,Panama,8.41,80.35,,,,sol,1,reg,1,0.364,0.019,0.052197802,47,3,1,8,0.525,0.177,2.4,13.55932203,97,0.165,0.148,0.093,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Davidse,31146,Costa Rica,10.39,83.4,55,3,,sol,1,reg,1,0.541,0.057,0.105360444,28,9,1,6,0.246,0.096,2.8,29.16666667,41,0.212,0.217,,11,3,,,,,,,,
mo,Synechanthus,warscewiczianus,de Nevers,3946,Panama,9.19,78.55,350,5,,sol,1,reg,1,0.291,0.043,0.147766323,43,8,1,7,0.435,0.22,3.8,17.27272727,58,0.301,0.23,,9,,,,,,,,,
mo,Synechanthus,warscewiczianus,de Nevers,3947,Panama,9.19,78.55,350,3,,sol,1,reg,1,0.295,0.025,0.084745763,51,5,1,9,0.452,0.141,5.7,40.42553191,63,0.282,0.256,0.183,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,de Nevers,4019,Panama,9.17,79.17,800,,,,,reg,1,0.35,0.021,0.06,32,5,1,8,0.574,0.185,2.9,15.67567568,45,,0.298,,7,3,,,,,,,,
ny,Synechanthus,warscewiczianus,de Nevers,4418,Panama,9.19,78.55,350,5,,,,reg,1,0.361,0.029,0.08033241,48,5,1,8,0.56,0.232,4,17.24137931,54,0.291,0.316,0.237,6,3,,,,,,,,
mo,Synechanthus,warscewiczianus,de Nevers,5549,Panama,9.18,79.16,850,3,,,,reg,1,0.373,0.031,0.08310992,35,2,1,8,0.635,0.21,4.8,22.85714286,,0.32,0.308,0.22,9,,0.014,0.0055,0.392857143,rum,8,1.8,,
mo,Synechanthus,warscewiczianus,de Nevers,6231,Panama,9.18,79.16,700,3,,sol,1,reg,1,0.395,0.021,0.053164557,48,3,1,9,0.53,0.134,2.8,20.89552239,36,0.248,0.245,0.144,7,3,,,,,,,,
mo,Synechanthus,warscewiczianus,de Nevers,6332,Panama,8.37,80.06,900,2,,clu,2,reg,1,0.215,0.012,0.055813953,45,3,1,8,0.407,0.059,1.6,27.11864407,33,0.057,0.081,0.04,5,3,,,,,,,,
mo,Synechanthus,warscewiczianus,de Nevers,6394,Panama,8.38,80.39,700,3,,clu,2,reg,1,0.369,0.023,0.062330623,46,5,1,6,0.355,0.067,2.3,34.32835821,13,0.183,0.144,0.113,9,3,,,,,,,,
mo,Synechanthus,warscewiczianus,de Nevers,6412,Panama,9.22,79.31,225,2,,sol,1,reg,1,0.35,0.015,0.042857143,42,3,1,8,0.583,0.21,3.5,16.66666667,55,0.357,0.312,0.161,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,de Nevers,6775,Panama,8.34,80.56,700,2.6,,clu,2,reg,1,0.33,0.029,0.087878788,41,8,1,9,0.448,0.184,3.3,17.93478261,38,,,0.175,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,de Nevers,8271,Panama,8.01,77.44,185,,,,,reg,1,0.429,0.039,0.090909091,38,9,1,8,0.535,0.173,2.8,16.1849711,44,0.317,0.238,0.185,7,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Dodge,10280,Costa Rica,8.35,83.22,5,,,,,reg,1,0.325,0.03,0.092307692,51,5,1,,,0.093,2.4,25.80645161,29,0.31,0.27,0.205,9,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Dodson,14697,Ecuador,0.05,79.2,220,,0.03,clu,2,reg,1,0.518,0.084,0.162162162,40,7,1,,,0.185,4.1,22.16216216,46,0.375,0.255,0.212,9,3,,,,,,,,
