Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Sex,Stemheight,Stemdiameter,Petiole,Petiolewid,Segments,Lencenseg,Widcenseg,Nonsplit,Lenlatseg,Widlatseg,Nonsplitlat,Rachlen,Proxraclen,Proxracwid,Fruitlen,Fruitdiam,Ocreas,Hastula,Centseg,Joined,Scales,Indume,Inflor,Bracts,Rachil,Pedicel,Tubular,Filament,Pediform,Frcolor
Rhapis,siamensis,,subtilis,BH,SFN,37540,Thailand,8.09,8.15,99.51,99.85,,,,,22,2.7,7,26.5,3.4,2,25.5,1.6,,,11.5,1.3,,,1,0,0,1,1,1,0,0,1,,,,,
Rhapis,siamensis,,subtilis,AAU,Larsen,42134,Thailand,7,7,100.1,100.16,150,pistillate,,,39,2.1,10,27,3,2.9,25.5,2,2.1,,13.5,1.4,9.4,5.8,,,,,,,,,,,,,,white
Rhapis,siamensis,,subtilis,AAU,K. Larsen,43077,Thailand,7,7,100.12,100.2,125,sterile,,1.42,35,1.6,6,28.7,3.5,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,siamensis,,subtilis,AAU,K. Larsen,44186,Thailand,7.04,7.06,100.32,100.53,75,sterile,,,24,1.4,6,22.7,3.7,3.3,20.6,3.8,2.2,,,,,,1,0,0,1,1,1,,,,,,,,
Rhapis,siamensis,,subtilis,A,Maxwell,84287,Thailand,7.03,7.06,100.31,100.53,75,pistillate,1.25,0.53,13,1.9,5,17,3,1.2,15.5,1.5,1.3,1.2,,1.5,7.4,7.1,1,0,0,1,1,1,0,0,1,1,,,1,
Rhapis,subtilis,,subtilis,P,El Colani,,Laos,17.29,17.48,104.55,104.91,150,staminate,,,13.5,1.5,3,13.2,2.7,0.3,13,2.2,0.3,5,6.7,0.9,,,1,1,0,0,1,1,0,0,1,1,1,0,,
Rhapis,subtilis,,subtilis,P,C. Thorel,3099,Laos,17.33,17.55,104.36,104.6,,pistillate,,0.25,7,1.2,2,9,1.7,0.2,8.2,1.2,0.3,,2.8,0.7,,,1,1,0,0,1,1,0,0,1,1,1,,,
Rhapis,subtilis,,subtilis,P,M. Martin,1391,Cambodia,12.19,12.31,103.09,103.15,150,pistillate,,,28.5,1.2,8,20.5,3.8,1.2,20.4,2.2,0.5,,9,1.6,,,1,1,0,1,1,1,,0,,1,,,,
Rhapis,subtilis,,subtilis,P,M. Martin,1790,Cambodia,13.05,13.1,103.12,103.2,,pistillate,,,12.5,1.7,5,13.5,2.5,1,12.7,1.4,0.7,,,,,,1,1,0,1,1,1,,0,,1,,,,
Rhapis,subtilis,,subtilis,BH,D. Hodel,1798,Thailand,13.41,13.68,102.3,102.5,250,pistillate,,1,34,2.1,4,20.5,7,2,20,1.6,1.5,8,15,1.1,,,1,1,0,1,1,1,,0,,,,,,
