Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Sex,Stemheight,Stemdiameter,Petiole,Petiolewid,Segments,Lencenseg,Widcenseg,Nonsplit,Lenlatseg,Widlatseg,Nonsplitlat,Rachlen,Proxraclen,Proxracwid,Fruitlen,Fruitdiam,Ocreas,Hastula,Centseg,Joined,Scales,Indume,Inflor,Bracts,Rachil,Pedicel,Tubular,Filament,Pediform,Frcolor
Rhapis,kebangensis,,kebangensis,NY,A. Henderson,4048,Vietnam,17.23,17.38,106.13,106.21,650,pist/stam,,0.36,14,1.1,4,16.5,2.2,0.3,15.5,0.5,0.3,2.2,6.5,0.9,9.9,6.6,1,1,0,0,1,0,1,0,1,1,1,1,1,
Rhapis,kebangensis,,kebangensis,NY,A. Henderson,4049,Vietnam,17.23,17.38,106.13,106.21,680,sterile,0.63,0.31,10,0.8,4,11.4,1.5,0.3,10.5,0.7,0.3,,,,,,1,1,0,0,1,0,,,,,,,,
Rhapis,laosensis,laosensis,laosensis,P,C. Thorel,,Laos,,,,,,pistillate,,,,,3,23.5,4.6,,23.5,3.8,,,,,,,1,,0,1,1,1,,1,,,,,,
Rhapis,laosensis,laosensis,laosensis,K,T. Evans,34,Laos,17.4,17.66,105.24,105.4,,staminate,2.5,0.95,,2.5,9,29,4.5,2.1,,3.3,1,,,,,,,,0,1,1,1,,1,1,,,,,
Rhapis,laosensis,laosensis,laosensis,K,T. Evans,35,Laos,17.4,17.66,105.24,105.4,,pistillate,2.5,0.79,34.5,1.9,9,21.5,3.8,2.7,19,2.1,1,6,3.8,1.2,,,,,0,1,1,1,,1,,1,0,,,
Rhapis,laosensis,laosensis,laosensis,K,T. Evans,38,Laos,18.11,18.18,104.58,104.96,500,,,,27.5,1.6,5,25,3,4,23.7,3.3,2.6,,,,,,,,0,1,1,1,,1,,,,,,
Rhapis,laosensis,laosensis,laosensis,K,T. Evans,61,Laos,18.18,18.3,104.23,104.38,400,staminate,,,,2,6,26,3.6,3.2,24,1.5,1.6,7,4,0.8,,,,,0,1,1,1,,1,,,,,,
Rhapis,laosensis,laosensis,laosensis,P,M. Newman,174,Laos,17.49,17.81,105.21,105.35,565,staminate,,,20.5,1.8,5,23,3.5,2.5,23.5,2.8,1.4,,5,1.3,,,1,0,0,1,1,1,,1,1,1,0,,,
Rhapis,laosensis,laosensis,laosensis,P,M. Newman,422,Laos,17.58,17.96,105.24,105.4,600,pistillate,,,33,2,7,21.5,2.7,1.7,20,2.5,1,,6,1.1,,,1,,0,1,1,1,,1,,1,,,1,white
Rhapis,laosensis,laosensis,laosensis,BK,Adisai,429,Thailand,18.01,18.01,103.1,103.06,,,,0.61,23,2.3,6,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,laosensis,laosensis,laosensis,P,Spire,568,Laos,19.3,19.5,103.3,103.5,,pistillate,,0.57,7.5,2.2,6,,3.7,,15,1.3,,,,1.9,,,1,,0,1,1,1,,1,,1,,,,
Rhapis,laosensis,laosensis,laosensis,AAU,A. Barfod,719,Thailand,18.16,18.26,103.54,103.9,100,sterile,1.5,0.71,28,1.7,7,21.4,1.5,1.8,19,1.3,2.5,,,,,,,,,,,,,,,,,,,
Rhapis,laosensis,laosensis,laosensis,AAU,A. Barfod,724,Thailand,16.19,16.31,104.19,104.31,193,sterile,,0.72,32.5,1.8,7,24.8,4.8,4,23.5,3,3,,,,,,,,,,,,,,,,,,,
Rhapis,laosensis,laosensis,laosensis,P,J. Vidal,1749,Laos,16.33,16.55,104.45,104.75,,sterile,,0.49,33.5,2.2,5,18.5,2.9,,,2.2,,,,,,,1,0,0,1,1,1,,,,,,,,
Rhapis,laosensis,laosensis,laosensis,P,C. Thorel,3154,Laos,19.15,19.25,101.42,101.7,,staminate,,0.64,35,2,9,,3.8,3.5,,2.7,,,,,,,1,0,0,1,1,1,,1,,,,,,
Rhapis,laosensis,laosensis,laosensis,P,J. Vidal,4334,Laos,18.29,18.49,102.25,102.42,,pistillate,,0.55,14.5,1.6,,,,,,,,,,,,,1,,0,1,1,1,,1,,1,,,1,
Rhapis,laosensis,laosensis,laosensis,US,J. Vidal,5888,Laos,18.3,18.51,102.33,102.55,200,pistillate,,,40,2.8,11,29.8,5.5,1.6,25.7,2,1,7,4.8,2.5,9.7,7.8,,,0,1,1,1,,1,,1,,,1,
Rhapis,laosensis,laosensis,laosensis,P,J. Vidal,6038,Laos,18.31,18.51,102.33,102.55,200,pistillate,,,52,2.9,10,,3.3,3.3,22.5,1.9,1.5,7,4.5,2.6,9.6,6.3,1,0,0,1,1,1,,1,,1,,,1,
Rhapis,laosensis,laosensis,laosensis,P,Poilane,12005,Laos,,,,,,staminate,,0.42,13.5,1.8,,,,,,,,,,,,,1,0,,,,,,,1,1,0,,,
Rhapis,laosensis,laosensis,laosensis,K,A. Kerr,20762,Laos,17.58,17.96,102.36,102.6,200,staminate,,,25.5,2.1,5,23.2,3.5,,20.5,2,1.3,,,,,,1,0,0,1,1,1,,1,1,1,0,1,,
Rhapis,laosensis,macrantha,laosensis,NY,M. Jeanson,59,Vietnam,17.31,17.51,106.15,106.25,190,pistillate,3.2,,41,2.3,8,33.5,4.5,7,31,3.5,4.7,8.5,6.2,1.1,,,1,0,0,1,1,1,,1,,,,,,
Rhapis,laosensis,macrantha,laosensis,HN,Xuyen,85,Vietnam,20,20,105.3,105.5,,pistillate,,,24,3.7,,,,,,,,,6,1.1,,,,,0,1,1,1,,1,,1,,,1,
Rhapis,laosensis,macrantha,laosensis,HN,T. P. Anh,104,Vietnam,18.3,18.5,105.25,105.41,,pistillate,,,,3.3,,36.5,5,,35,2.2,,,10.2,1.1,,,,,0,1,1,1,,1,,1,,,,
Rhapis,laosensis,macrantha,laosensis,HN,Tran Hop,305,Vietnam,20.15,20.25,105.42,105.7,,,,,28.5,3,8,29.5,3.7,,27.5,2,,9,6.3,1.2,,,,,0,1,1,1,,1,,,,,,
Rhapis,laosensis,macrantha,laosensis,HN,Tran Hop,306,Vietnam,20.15,20.25,105.42,105.7,,staminate,,0.99,32,2.8,11,30,2.5,,26,2.2,,,,,,,,,0,1,1,1,,1,1,1,0,,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3228,Vietnam,17.31,17.51,106.16,106.26,20,staminate,2.5,,65,2.6,9,30.5,4.5,4.3,29,2,2,11,9.7,0.9,,,,,0,1,1,1,,1,1,1,0,1,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3255,Vietnam,16.14,16.23,107.52,107.86,100,pistillate,1.5,,50,2.4,11,29.7,3.5,2.5,27,2.1,1.5,14,5.2,1.1,,,,,0,1,1,1,,1,,1,,,1,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3324,Vietnam,20.15,20.25,105.42,105.7,,sterile,1.5,,49,3.9,8,41,4,5.3,39,4.3,2.5,,,,,,1,0,0,1,1,1,,,,,,,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3344,Vietnam,19.18,19.3,105.07,105.11,250,sterile,,,45.5,3.6,11,36.5,3.1,5.5,29.5,1.5,2.7,,,,,,1,0,0,1,1,1,,,,,,,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3376,Vietnam,19,19,104.51,104.85,100,pistillate,2,,69.5,2.7,12,30.7,3.3,5.2,28,2.8,2.7,7.5,6,1.2,,,1,0,0,1,1,1,0,1,,1,,,1,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3518,Vietnam,16.55,16.938,106.34,106.585,1000,sterile,3,,49.5,2.5,7,33.5,4,5.3,30,3.2,4.7,,,,,,1,0,0,1,1,1,,,,,,,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3530,Vietnam,16.34,16.577,107.13,107.232,300,staminate,2,,33,3.2,9,32.5,4.2,4,29.5,2.4,1.5,,,,,,,,0,1,1,1,,,,,,,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3756,Vietnam,19.36,19.609,105.3,105.515,,pistillate,3,,36,2.9,11,33,7,7,31,3,5.4,9,5.7,0.9,7.2,5.5,1,0,0,1,1,1,,1,,1,,,1,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3803,Vietnam,20.14,20.23,105.42,105.7,,sterile,,1.02,,3,10,40,3.2,5.5,34.5,3.5,2,,,,,,1,0,0,1,1,1,,,,,,,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3824,Vietnam,17.31,17.51,106.16,106.26,20,sterile,,,,2.5,13,30.5,3.7,3.8,28,1.5,1.4,,,,,,,0,0,1,1,1,,,,,,,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3826,Vietnam,16.14,16.23,107.52,107.86,100,sterile,,,,2.9,,36,3.1,4.5,31,1,1.3,,,,,,,0,0,1,1,1,,,,,,,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3827,Vietnam,16.14,16.23,107.52,107.86,100,sterile,,,,2.2,2,21.2,5,2.5,,,,,,,,,,0,0,1,1,1,,,,,,,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,3828,Vietnam,20.09,20.15,105.28,105.46,,pistillate,,,28.5,3.9,8,30,3.5,4.3,27.3,2.6,2,,4.5,1.1,7.7,6.9,1,0,0,1,1,1,,1,,1,,,1,
Rhapis,laosensis,macrantha,laosensis,MO,L. Averyanov,4654,Vietnam,17.4,17.66,105.57,105.95,550,pistillate,,,21,2.3,9,27,2,4.3,25,2,2.2,5.4,6,1.6,,,1,0,0,1,1,1,,1,,1,,,1,
Rhapis,laosensis,macrantha,laosensis,P,A. Chevalier,32535,Vietnam,,,,,,pistillate,,,,3.8,9,37,4,8.8,32,1.5,2,12.5,7.5,1.3,,,1,0,0,1,1,1,,1,,1,,,,
Rhapis,laosensis,macrantha,laosensis,P,Donat,38238,Vietnam,,,,,,sterile,,,25,2.8,6,31,2.4,5,29.5,4.2,3,,,,,,1,,0,1,1,1,,,,,,,,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,4046,Vietnam,17.22,17.36,106.13,106.21,385,pistillate,1,,33.5,2.3,7,28,3,3.5,25.5,2.3,2.4,4.5,,,7.2,7.2,1,0,0,1,1,1,0,1,1,1,,,1,
Rhapis,laosensis,macrantha,laosensis,NY,A. Henderson,4042,Vietnam,16.09,16.15,108.06,108.1,69,sterile,2,,45,2.4,11,32.5,3,5.5,27.5,1.5,2,5,6,0.8,,,1,0,0,1,1,1,0,1,1,1,,,,
Rhapis,micrantha,,micrantha,L,L. Averyanov,1609,Vietnam,20.16,20.26,105.4,105.66,350,,,,35.5,2.3,7,26,2.7,0.3,25.5,1.4,0.2,,,,,,3,0,0,0,1,1,,,,,,,,
Rhapis,micrantha,,micrantha,P,R. Bon,2045,Veitnam,20.24,20.4,105.51,105.85,,pist/stam,,0.78,,2.6,6,18,4.2,0.4,17,1.5,0.5,,5.5,0.7,,,3,0,0,0,1,1,,0,0,1,0,,,
Rhapis,micrantha,,micrantha,P,R. Bon,2046,Veitnam,20.24,20.4,105.51,105.85,,staminate,,,,3.2,13,29,2.7,,27.5,1,,16,7,0.4,,,3,,0,0,1,1,,0,0,1,0,,,
Rhapis,micrantha,,micrantha,P,R. Bon,2345,Vietnam,,,,,,pist/stam,,0.7,30,2.3,9,25,2.2,0.3,21.5,1.5,0.2,10,6,0.5,8.5,6.7,3,0,0,0,1,1,,0,0,1,0,,0,white
Rhapis,micrantha,,micrantha,P,R. Bon,2545,Vietnam,20.24,20.4,105.51,105.85,,staminate,,0.84,21.5,1.9,6,22,2.3,0.1,19,1,0.1,17.5,7.7,0.7,,,3,,0,,,,,0,,,,,,
Rhapis,micrantha,,micrantha,P,R. Bon,2971,Vietnam,,,,,,pistillate,,,32.5,2.7,12,30.5,2.2,,26.4,1.7,,11,7.5,1.2,6.1,6.3,3,,0,0,1,1,,0,,1,,,0,
Rhapis,micrantha,,micrantha,MO,Hiep,3031,Vietnam,20.35,20.58,105.36,105.6,,pistillate,,,46.5,2.7,8,29.5,3,0.3,26.5,1.8,0.3,17.5,,,7.9,7.4,,,0,0,1,1,,0,,1,,,0,
Rhapis,micrantha,,micrantha,NY,A. Henderson,3322,Vietnam,20.24,20.4,105.51,105.85,100,staminate,1.5,,35,3.3,11,33.5,3,0.9,25.5,2.3,1,19.5,10.7,0.8,,,,,0,0,1,1,0,0,0,1,0,1,,
Rhapis,micrantha,,micrantha,NY,A. Henderson,3336,Vietnam,20.35,20.58,105.36,105.6,300,staminate,2,,73,3,6,35,4.1,2.5,32.5,3.6,1.7,20,9,1.2,,,,,0,1,1,1,,0,0,1,0,1,,
Rhapis,micrantha,,micrantha,P,Spire,5929,Laos,,,,,,staminate,,,,1.8,,,,,,,,16,5,0.6,,,3,0,,,1,1,,0,0,1,0,,,
Rhapis,micrantha,,micrantha,HN,Phuong,5916,Vietnam,20.17,20.28,105.09,105.15,,staminate,,,20.5,2,5,19.5,3.2,0.2,18.7,2.2,0.2,,3.3,0.4,,,,,0,0,1,1,,0,0,1,0,,,
Rhapis,puhuongensis,,puhuongensis,Pu Mat,N. N. Thin,153,Vietnam,19,19,104.45,104.75,,sterile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,puhuongensis,,puhuongensis,NY,Vu,1748,Vietnam,19.2,19.33,105.1,105.16,300,pistillate,1.2,0.41,15.5,1.3,15,14,0.5,4.3,12.7,0.6,3,9,3.5,0.3,,,2,1,2,1,1,1,,0,,0,0,,0,
Rhapis,puhuongensis,,puhuongensis,NY,A. Henderson,3423,Vietnam,19.2,19.33,105.1,105.16,250,pistillate,,,14,1.5,16,13.2,0.7,6,12,0.5,3.7,7.5,3,0.4,,,,,2,1,1,1,1,0,0,0,,,0,
Rhapis,robusta,,humilis,K,H. Morse,380,China,22.21,22.35,106.45,106.75,,sterile,,,,1.7,6,20.3,2.7,3.5,19,1.9,,,,,,,2,0,0,1,1,1,,,,,,,,
