Number,Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Plheight,Stemlength,Stemdiameter,Leafnumber,Sheath,Petiole,Rachislen,Nodivisions,Pinlen,Pinwid,Pedbract,Pedunclelen,Straclen,Stracnum,Stflowlen,Nostamen,Psraclen,Psracnum,Fruitlen,Fruitdiam,Seeds,Acaule,Vertic,Petiol,Shefib,Pinnae,Ahairs,Auricl,Flabel,Starac,Toment,Bracte,Arrang,Stampe,Surfac,Granul,Margin,Stamen,Stalen,Anther,Pisrac,Cuspid,Pismar,String,Angled,Frgray,Fibers,Locpit,Endbas,Xfiber,Endfib,Seeded,Opercu,Hollow,Fruitcolor
684,Attalea,allenii,,A. allenii,MO,de Nevers,4735,Panama,9.24,9.4,79.08,-79.13,90,,,,,,,,,,,,,3,,9.8,,,,,,,2,,,,,,,,1,2,2,1,1,2,1,3,1,3,1,,,,,,,,,,,,,,,
713,Attalea,allenii,,A. allenii,MO,Antonio,3314,Panama,9.18,9.31,78.56,-78.94,,4.5,,,,,,,100,,,,,,,,,,,77.7,38.2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
716,Attalea,allenii,,A. allenii,MO,Gordon,15,Panama,,,,,,,,,,,,,,,,,,,,,,,,74.1,51.4,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
718,Attalea,allenii,,A. allenii,MO,de Nevers,3639,Panama,9.19,9.31,78.15,-78.25,350,,,,,,,,,,,,,,,,,,,73.4,39.6,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
720,Attalea,allenii,,A. allenii,MO,de Nevers,7191,Panama,9.26,9.43,79.07,-79.11,,,,,,,,,,,,,,,,,,,,80.8,39.7,,2,,,,3,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
9,Attalea,amygdalina,,A. amygdalina,NY,Galeano,6219,Colombia,5.45,5.75,76,-76,1470,,,,9,,70,716,146,85.5,5.8,154,,,,16.9,15,,,79.3,40.4,3,2,2,2,2,1,2,1,1,,,,,1,2,2,2,2,3,1,,,,,2,2,,,,,,2,,2,brown
10,Attalea,amygdalina,,A. amygdalina,NY,Galeano,6218,Colombia,5.48,5.8,75.54,-75.9,1400,,3,22,12,,224,910,172,,,327,215,,,16.7,,28,,,,,1,2,2,2,1,2,,,,,,,1,2,2,2,2,3,1,2,,,,,,,,,,,,,,
444,Attalea,amygdalina,,A. amygdalina,COL,Bernal,49,Colombia,5.57,5.95,75.46,-75.76,1400,,,,15,,70,740,149,,5.9,125,60,15,250,,,,,97.8,50.9,,2,,2,,1,,1,,,,,8,,,,,,,,,,2,,2,2,,,,,,,,,ferrugineus brown
445,Attalea,amygdalina,,A. amygdalina,COL,Patino,213,Colombia,4.12,4.2,76.06,-76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,8,,,,,,,,,,,,,,,,,,,,,,
467,Attalea,amygdalina,,A. amygdalina,COL,Bernal,1556,Colombia,4.09,4.15,76.12,-76.2,,,,,5,75,3,615,160,,,175,,,252,,,14,50,,,,2,,2,,1,,,2,2,,,8,1,2,2,2,2,3,1,,,,,,,,,,,,,,,
508,Attalea,amygdalina,,A. amygdalina,K,Gentry,54046,Colombia,4.1,4.16,76.13,-76.21,1200,,,,,,,,138,,,,,12,,11.5,,,,70.9,42.2,,2,,,,,,,,,,,8,,,,,2,,,,,,,2,2,,,,,,,,,
551,Attalea,amygdalina,,A. amygdalina,BH,Moore,10199,Colombia,4.1,4.16,76.08,-76.13,1300,,,,10,,75,770,132,,5.4,,,17,,14.2,,,,87,48.6,2,2,,2,,1,2,2,2,,1,1,8,,,,,,,,2,1,2,1,2,2,1,2,1,1,2,2,1,,
552,Attalea,amygdalina,,A. amygdalina,BH,Moore,10196,Colombia,4.07,4.11,76.21,-76.35,,,,,7,,,680,126,92,4.7,,66,17,,16.6,16,14,,,,,2,,2,,1,2,1,2,2,1,1,8,,,,,,,,2,1,2,,,,,,,,,,,,
763,Attalea,amygdalina,,A. amygdalina,F,Patino,,Colombia,4.09,4.15,75.58,-75.96,,,,,,,,,,,,,,19,,14,7,11,,105.6,55,1,,,,,,,,,,1,1,8,1,2,2,2,2,3,1,2,,,,2,2,,,,,,,,,
798,Attalea,barreirensis,,A. barreirensis,F,Glassman,13048,Brazil,12.08,-12.13,45.14,-45.23,,,,,,,,,,,,,,4.5,,13.1,,,,56.2,35.8,1,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,1,,1,,,,1,,
125,Attalea,barreirensis,,A. barreirensis,NY,Anderson,36868,Brazil,12.3,-12.5,46.09,-46.15,775,,,,,,,,,29,2.4,,,,,,,1,,,,,2,,2,,2,,2,2,,,,,,,,,,,,,1,1,1,,,,,,,,,,,
132,Attalea,barreirensis,,A. barreirensis,NY,Noblick,5104,Brazil,14.06,-14.1,46.19,-46.31,840,,,,8,,3.1,153,76,40,3.2,32,7,,43,9.9,5,,,56,37.4,1,2,,2,,2,1,2,2,1,1,2,1,1,2,2,2,1,3,1,,1,,,2,2,1,1,1,2,,1,1,,gray-brown
133,Attalea,barreirensis,,A. barreirensis,NY,Noblick,4522,Brazil,13.5,-13.83,44.28,-44.46,675,,,,5,,,130,91,25,3.8,35,15,3.5,,11.1,6,,,48.8,34.2,1,2,,2,,2,1,2,2,1,1,2,1,1,2,2,2,1,3,1,,,,,2,2,1,,1,2,,1,1,,reddish-orange
134,Attalea,barreirensis,,A. barreirensis,NY,Noblick,4675,Brazil,11.02,-11.03,45.11,-45.18,510,,,,7,,36,174,90,38.5,5,33,8,4,46,11.4,6,,,51.8,34.8,1,2,2,2,2,2,3,2,2,1,1,2,1,1,2,2,2,1,3,1,,1,1,1,2,2,1,,1,2,,1,1,2,
403,Attalea,barreirensis,,A. barreirensis,NY,Vieira,396,Brazil,13.55,-13.91,44.28,-44.46,,,,,,,,,,,,,,5.5,,11.9,6,,,,,,,,,,,,,,,1,2,1,1,2,2,2,1,3,1,,1,1,1,,,,,,,,,,,
468,Attalea,barreirensis,,A. barreirensis,K,Noblick,4528,Brazil,12.49,-12.81,44.36,-44.6,750,,,,5,,26,137,92,30.5,3.4,31,17,8.7,57,,,,,,,,2,,2,,2,,2,2,1,1,2,1,1,2,2,2,1,3,1,,,1,,,,,,,,,,,,
