NUMBER,Genus,SPECIES$,SUBSPECIES$,HERBARIUM$,COLLECTOR$,COLNUMBER,COUNTRY$,LATITUDE,DLATITUDE,LONGITUDE,DLONGITUDE,ELEVATION,STEMHEIGHT,STEMDIAMETER,LEAFNUMBER,SHEATH,PETIOLE,RACHISLEN,RACHISWID,NODIVISIONS,BASPINLEN,BASPINWID,BASPINANG,APINLEN,APINWID,APINANG,ORDERS,PROPHYLL,PEDBRACT,DISTANCE,PEDUNCLELEN,PEDUNCLEWID,NORACHILLAE,RACHILLLEN,RACHILLWID,FRUITLEN,FRUITDIAM,STEMBRANCH,INFLOBRAN,BRACTS,PROXSHAPE,FRUITS
106,Pholidostachys,synanthera,synanthera,BH,Moore,8383,Peru,9.05,-9.08,75.52,-75.86,400,,,,,,,11.8,,,4.5,,,,,1,,,,,19.1,,,,,,1,2,,3,
174,Pholidostachys,synanthera,synanthera,MO,Morales,1509,Ecuador,2.59,-2.98,78.09,-78.15,580,,,,,80,,11.3,,,5.5,40,,,,,,,,,,,31,7.9,,,,,,3,
58,Pholidostachys,synanthera,synanthera,NY,Neill,14073,Ecuador,3.05,-3.08,77.56,-77.93,1400,3,10,,,,,11,,,1.5,33,,,,1,,,,,,,,10.3,,,1,2,2,3,
144,Pholidostachys,synanthera,synanthera,MO,Palacios,15661,Ecuador,2.32,-2.53,77.54,-77.9,800,,,,,,,11.1,,,,,,,,1,,,,,5.3,,,5.9,,,,,,3,
145,Pholidostachys,synanthera,synanthera,MO,Quizhpe,1222,Ecuador,4.28,-4.46,78.39,-78.65,1200,,,,,,,11.4,12,,0.7,47,,5.5,12,,,,,,,,,7.3,,,,,,3,
67,Pholidostachys,synanthera,synanthera,NY,Rainer,2126888,Peru,9.28,-9.46,74.47,-74.78,800,5,5,11,45,,89,9.7,8,37,0.5,59,,14,10,2,31,38,,45,,16,30,7.7,,,1,2,2,3,
77,Pholidostachys,synanthera,synanthera,NY,Rainer,1922188,Peru,9.28,-9.46,74.47,-74.78,800,,,,,,,,,,,,,,,,,,,,15,,,6.8,10.4,6.6,,2,2,3,5
121,Pholidostachys,synanthera,synanthera,COL,Ramírez,15907,Colombia,1.13,1.21,76.35,-76.58,1100,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,
171,Pholidostachys,synanthera,synanthera,MO,Ramírez,4879,Colombia,1.36,1.6,75.37,-75.61,1420,,,,,,,,11,,,,,,,1,33,,,40,10.1,12,26,5.5,,,1,2,2,3,
71,Pholidostachys,synanthera,synanthera,NY,Rodriguez,1013,Peru,4.55,-4.91,78.19,-78.31,780,,,,,,55,3.6,11,,0.6,,,2.5,17,1,27.5,27,12.5,45.5,7.9,9,22.5,4.3,,,,2,2,3,
230,Pholidostachys,synanthera,synanthera,F,Ruíz,,Peru,9.3,-9.5,75.56,-75.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
156,Pholidostachys,synanthera,synanthera,MO,Sánchez,1957,Colombia,6.18,6.3,75.02,-75.03,1500,,,,,25,100,,18,,,,,,,,,,,20,,,21,6,,,1,,,3,
173,Pholidostachys,synanthera,synanthera,MO,Schunke,10125,Peru,9.15,-9.25,75.5,-75.83,736,,,,,,,,,,,,,,,2,,,,,10.8,,,,,,,2,,3,
175,Pholidostachys,synanthera,synanthera,MO,Schunke,10460,Peru,9.15,-9.25,75.5,-75.83,750,,,,,,,,,,,,,,,1,,,,,,,14,5.7,,,,2,2,3,
176,Pholidostachys,synanthera,synanthera,MO,Schunke,10449,Peru,9.15,-9.25,75.5,-75.83,750,,,,,,,8.4,,,2,,,,,1,,,,,,,26.5,4.8,,,,2,2,3,
201,Pholidostachys,synanthera,synanthera,AAU,Skov,64718,Ecuador,2.59,-2.98,78.27,-78.45,1350,6,7.5,27,22,60,105,9,9,,1,56,33,6,11,1,40,31,7,35,18.6,16,35,7.8,,,1,2,2,3,
189,Pholidostachys,synanthera,synanthera,MO,Smith,4834,Peru,5.51,-5.85,77.2,-77.33,1325,,6,20,,,,11.2,15,51.5,0.6,55,,10,11,,,,,,,,35.5,6.8,,,1,2,,3,
61,Pholidostachys,synanthera,synanthera,NY,Smith,2124,Peru,11.01,-11.02,74.54,-74.9,1000,5.5,8,,,,,10.4,7,63,1.5,45,58,9.5,12,2,,,,,,,26,8.8,,,1,2,2,3,
82,Pholidostachys,synanthera,synanthera,NY,Smith,5146,Peru,10.45,-10.75,74.23,-74.38,1200,,5,8,,,,10.8,8,,0.8,53,,,,2,,,,,,,36,5.1,,,,,2,3,
83,Pholidostachys,synanthera,synanthera,NY,Smith,8434,Peru,5.51,-5.85,77.2,-77.33,1325,,6,20,,,,10.9,15,,0.8,40,,5,15,,,,,,,,39,7.3,,,1,,2,3,
143,Pholidostachys,synanthera,synanthera,GH,Soejarto,2743,Colombia,7.19,7.316,75.03,-75.05,650,,,,,,,,,,,,,,,1,,,,,7.5,4,,5.1,13.6,9,,,,3,5
168,Pholidostachys,synanthera,synanthera,MO,Timaná,907,Peru,13.31,-13.51,70.45,-70.75,720,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,2,,3,
194,Pholidostachys,synanthera,synanthera,MO,Toasa,8676,Ecuador,2.32,-2.53,77.53,-77.88,800,,,,,,,,,,,,,16.5,15,2,,,,,16.3,,34,5.8,,,,,,3,
211,Pholidostachys,synanthera,synanthera,AAU,Van den Eynd,581,Ecuador,3.31,-3.51,78.57,-78.95,1390,,,,,,,,,,,,,,,1,44.5,,,,17.5,,30,5.5,,,,2,2,3,
184,Pholidostachys,synanthera,synanthera,MO,van der Werf,13092,Ecuador,4.19,-4.31,78.4,-78.66,1050,2,,,,,,,,,,,,,,1,,,,,10.7,10,20.5,7,,,,2,2,3,
111,Pholidostachys,synanthera,synanthera,BH,Vargas,17582,Peru,13.25,-13.41,70.15,-70.25,1000,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,2,3,
112,Pholidostachys,synanthera,synanthera,BH,Vargas,7748,Peru,13.09,-13.15,70.52,-70.86,600,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,3,
76,Pholidostachys,synanthera,synanthera,NY,Vásquez,22490,Peru,4.34,-4.56,78.14,-78.23,950,,,8,,,,12.6,,,1.8,38,,,,2,,,,,7.2,,23.5,5.9,,,,2,2,3,
